,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent
188,244,Mauritania,2025,10.0963,1.0,909.6299999999999
178,222,Egypt,2025,9.7565,1.0,875.6500000000001
174,213,Libya,2025,12.4152,2.0,520.76
61,67,Algeria,2025,13.9108,3.0,363.6933333333333
177,220,Syria,2025,9439.7886,2091.0,351.44852223816355
169,198,Taiwan,2025,7.4916,2.0,274.58
8,9,Brazil,2025,82.972,23.0,260.7478260869565
122,136,Pakistan,2025,3896.1642,1184.0,229.06792229729734
170,199,China,2025,3.1592000000000002,1.0,215.92000000000002
119,133,Afghanistan,2025,510.69230000000005,163.0,213.30815950920248
179,223,India,2025,1112.3741,375.0,196.63309333333333
105,119,Oman,2025,23.1448,9.0,157.16444444444443
106,120,Somalia,2025,6256.1693,2459.0,154.41924766165104
39,41,Cote d'Ivoire,2025,2.4587,1.0,145.86999999999998
152,167,"Congo, DRC",2025,2006.7298,848.0,136.64266509433963
124,138,Bangladesh,2025,29.7549,13.0,128.88384615384615
71,81,Togo,2025,39.8617,18.0,121.45388888888888
69,79,Nigeria,2025,6832.9088,3218.0,112.33402113113735
15,17,Mexico,2025,32.1153,16.0,100.72062499999998
110,124,Yemen,2025,1292.7959,652.0,98.28157975460124
149,164,Swaziland,2025,3.9044999999999996,2.0,95.22499999999998
55,60,Iraq,2025,559.7169,346.0,61.767890173410414
148,163,South Africa,2025,9.6778,6.0,61.29666666666665
64,73,Tunisia,2025,6.0779,4.0,51.94749999999999
147,162,Mozambique,2025,243.2178,161.0,51.06695652173914
51,55,Djibouti,2025,2.9653,2.0,48.265
190,246,South Sudan,2025,38.2892,26.0,47.266153846153856
130,145,Philippines,2025,350.1389,239.0,46.50163179916317
47,50,Mali,2025,1880.1999,1322.0,42.22389561270802
62,69,Cameroon,2025,475.5378,335.0,41.95158208955224
144,159,Comoros,2025,1.3723,1.0,37.230000000000004
44,47,Burkina Faso,2025,4207.7894,3135.0,34.21975757575756
26,28,Colombia,2025,202.6436,154.0,31.58675324675324
68,78,Niger,2025,1119.7314000000001,851.0,31.578307873090495
59,65,Russia,2025,576.617,447.0,28.99709172259507
53,57,Ethiopia,2025,3875.7457,3051.0,27.03197967879384
12,13,Peru,2025,7.5727,6.0,26.211666666666673
134,149,Myanmar,2025,3186.0508,2587.0,23.156196366447624
183,234,United States,2025,5.5390999999999995,5.0,10.78199999999999
117,131,Saudi Arabia,2025,9.0801,9.0,0.8899999999999982
184,235,Uganda,2025,15.208,16.0,-4.949999999999999
185,237,Kenya,2025,166.5329,176.0,-5.379034090909085
