,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
188,244,Mauritania,2025,10.0963,1.0,909.6299999999999,low-violence
178,222,Egypt,2025,9.7565,1.0,875.6500000000001,low-violence
174,213,Libya,2025,12.4152,2.0,520.76,low-violence
61,67,Algeria,2025,13.9108,3.0,363.6933333333333,low-violence
169,198,Taiwan,2025,7.4916,2.0,274.58,low-violence
170,199,China,2025,3.1592000000000002,1.0,215.92000000000002,low-violence
105,119,Oman,2025,23.1448,9.0,157.16444444444443,low-violence
39,41,Cote d'Ivoire,2025,2.4587,1.0,145.86999999999998,low-violence
149,164,Swaziland,2025,3.9044999999999996,2.0,95.22499999999998,low-violence
148,163,South Africa,2025,9.6778,6.0,61.29666666666665,low-violence
64,73,Tunisia,2025,6.0779,4.0,51.94749999999999,low-violence
51,55,Djibouti,2025,2.9653,2.0,48.265,low-violence
144,159,Comoros,2025,1.3723,1.0,37.230000000000004,low-violence
12,13,Peru,2025,7.5727,6.0,26.211666666666673,low-violence
183,234,United States,2025,5.5390999999999995,5.0,10.78199999999999,low-violence
117,131,Saudi Arabia,2025,9.0801,9.0,0.8899999999999982,low-violence
184,235,Uganda,2025,15.208,16.0,-4.949999999999999,low-violence
9,10,Chile,2025,2.541,3.0,-15.300000000000002,low-violence
10,11,Ecuador,2025,6.8077000000000005,9.0,-24.35888888888888,low-violence
150,165,Angola,2025,13.8857,21.0,-33.87761904761904,low-violence
187,243,Morocco,2025,4.4385,9.0,-50.68333333333332,low-violence
111,125,Armenia,2025,4.9855,12.0,-58.454166666666666,low-violence
112,126,Azerbaijan,2025,11.5308,430.0,-97.31841860465116,low-violence
3,4,Venezuela,2025,6.6825,0.0,,low-violence
123,137,Tajikistan,2025,4.246,0.0,,low-violence
120,134,Kyrgyzstan,2025,3.9828,0.0,,low-violence
142,157,Zambia,2025,3.9121,0.0,,low-violence
186,242,Tanzania,2025,3.6462,0.0,,low-violence
157,172,Madagascar,2025,2.8789,0.0,,low-violence
88,101,Poland,2025,2.5918,0.0,,low-violence
163,179,Papua New Guinea,2025,2.4248000000000003,0.0,,low-violence
56,62,Jordan,2025,2.4066,0.0,,low-violence
141,156,Rwanda,2025,2.2462999999999997,0.0,,low-violence
143,158,Zimbabwe,2025,2.1551,0.0,,low-violence
45,48,Guinea,2025,1.9577,0.0,,low-violence
52,56,Eritrea,2025,1.9125,0.0,,low-violence
128,143,North Korea,2025,1.8706999999999998,0.0,,low-violence
151,166,Congo,2025,1.8084,0.0,,low-violence
30,32,Honduras,2025,1.7871000000000001,0.0,,low-violence
40,42,Ghana,2025,1.5604,0.0,,low-violence
87,100,Hungary,2025,1.3149,0.0,,low-violence
7,8,Bolivia,2025,1.2337,0.0,,low-violence
161,177,Australia,2025,1.2197,0.0,,low-violence
14,16,Guatemala,2025,1.2122,0.0,,low-violence
2,3,Trinidad and Tobago,2025,1.2046999999999999,0.0,,low-violence
102,116,Romania,2025,1.1783000000000001,0.0,,low-violence
146,161,Malawi,2025,1.1635,0.0,,low-violence
96,110,Belarus,2025,1.0959,0.0,,low-violence
48,52,Senegal,2025,1.0678,0.0,,low-violence
115,129,Kuwait,2025,0.9962,0.0,,low-violence
