,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
8,9,Brazil,2025,82.972,23.0,260.7478260869565,medium-violence
124,138,Bangladesh,2025,29.7549,13.0,128.88384615384615,medium-violence
71,81,Togo,2025,39.8617,18.0,121.45388888888888,medium-violence
15,17,Mexico,2025,32.1153,16.0,100.72062499999998,medium-violence
190,246,South Sudan,2025,38.2892,26.0,47.266153846153856,medium-violence
135,150,Thailand,2025,34.6013,39.0,-11.278717948717944,medium-violence
83,96,Turkey,2025,33.0382,38.0,-13.057368421052622,medium-violence
173,209,Indonesia,2025,65.8769,76.0,-13.319868421052625,medium-violence
65,74,Benin,2025,63.1172,73.0,-13.538082191780825,medium-violence
22,24,Haiti,2025,72.5015,146.0,-50.34143835616439,medium-violence
175,214,Chad,2025,43.4148,122.0,-64.41409836065574,medium-violence
140,155,Burundi,2025,41.8195,122.0,-65.7217213114754,medium-violence
114,128,Iran,2025,46.6495,168.0,-72.23244047619048,medium-violence
