,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
177,220,Syria,2025,9439.7886,2091.0,351.44852223816355,war
122,136,Pakistan,2025,3896.1642,1184.0,229.06792229729734,war
179,223,India,2025,1112.3741,375.0,196.63309333333333,war
106,120,Somalia,2025,6256.1693,2459.0,154.41924766165104,war
152,167,"Congo, DRC",2025,2006.7298,848.0,136.64266509433963,war
69,79,Nigeria,2025,6832.9088,3218.0,112.33402113113735,war
110,124,Yemen,2025,1292.7959,652.0,98.28157975460124,war
47,50,Mali,2025,1880.1999,1322.0,42.22389561270802,war
44,47,Burkina Faso,2025,4207.7894,3135.0,34.21975757575756,war
68,78,Niger,2025,1119.7314000000001,851.0,31.578307873090495,war
53,57,Ethiopia,2025,3875.7457,3051.0,27.03197967879384,war
134,149,Myanmar,2025,3186.0508,2587.0,23.156196366447624,war
189,245,Sudan,2025,2854.7441,4098.0,-30.338113714006838,war
176,218,Israel,2025,4746.6493,34655.0,-86.30313288125812,war
103,117,Ukraine,2025,5749.8372,50992.0,-88.72404063382491,war
