,country_id,country,year,main_mean,actuals_last_12months
8,9,Brazil,2025,82.972,23.0
59,81,Togo,2025,39.8617,18.0
15,17,Mexico,2025,32.1153,16.0
103,138,Bangladesh,2025,29.7549,13.0
90,119,Oman,2025,23.1448,9.0
152,235,Uganda,2025,15.208,16.0
54,67,Algeria,2025,13.9108,3.0
124,165,Angola,2025,13.8857,21.0
146,213,Libya,2025,12.4152,2.0
155,244,Mauritania,2025,10.0963,1.0
147,222,Egypt,2025,9.7565,1.0
122,163,South Africa,2025,9.6778,6.0
98,131,Saudi Arabia,2025,9.0801,9.0
12,13,Peru,2025,7.5727,6.0
142,198,Taiwan,2025,7.4916,2.0
10,11,Ecuador,2025,6.8077000000000005,9.0
3,4,Venezuela,2025,6.6825,0.0
55,73,Tunisia,2025,6.0779,4.0
151,234,United States,2025,5.5390999999999995,5.0
94,125,Armenia,2025,4.9855,12.0
154,243,Morocco,2025,4.4385,9.0
102,137,Tajikistan,2025,4.246,0.0
100,134,Kyrgyzstan,2025,3.9828,0.0
117,157,Zambia,2025,3.9121,0.0
123,164,Swaziland,2025,3.9044999999999996,2.0
153,242,Tanzania,2025,3.6462,0.0
143,199,China,2025,3.1592000000000002,1.0
47,55,Djibouti,2025,2.9653,2.0
130,172,Madagascar,2025,2.8789,0.0
74,101,Poland,2025,2.5918,0.0
9,10,Chile,2025,2.541,3.0
37,41,Cote d'Ivoire,2025,2.4587,1.0
136,179,Papua New Guinea,2025,2.4248000000000003,0.0
50,62,Jordan,2025,2.4066,0.0
116,156,Rwanda,2025,2.2462999999999997,0.0
118,158,Zimbabwe,2025,2.1551,0.0
42,48,Guinea,2025,1.9577,0.0
48,56,Eritrea,2025,1.9125,0.0
107,143,North Korea,2025,1.8706999999999998,0.0
125,166,Congo,2025,1.8084,0.0
28,32,Honduras,2025,1.7871000000000001,0.0
38,42,Ghana,2025,1.5604,0.0
119,159,Comoros,2025,1.3723,1.0
73,100,Hungary,2025,1.3149,0.0
7,8,Bolivia,2025,1.2337,0.0
134,177,Australia,2025,1.2197,0.0
14,16,Guatemala,2025,1.2122,0.0
2,3,Trinidad and Tobago,2025,1.2046999999999999,0.0
88,116,Romania,2025,1.1783000000000001,0.0
121,161,Malawi,2025,1.1635,0.0
82,110,Belarus,2025,1.0959,0.0
44,52,Senegal,2025,1.0678,0.0
96,129,Kuwait,2025,0.9962,0.0
45,53,Sierra Leone,2025,0.9561,0.0
92,122,Turkmenistan,2025,0.9366,0.0
68,92,Georgia,2025,0.9066,0.0
24,27,Belize,2025,0.8935,0.0
127,169,Gabon,2025,0.8867,0.0
66,89,Bulgaria,2025,0.8622,0.0
144,205,Malaysia,2025,0.8429,0.0
93,123,Uzbekistan,2025,0.8225,0.0
27,31,El Salvador,2025,0.7953,0.0
75,102,Slovakia,2025,0.7933,0.0
99,132,United Arab Emirates,2025,0.7913,0.0
97,130,Qatar,2025,0.7871,0.0
111,148,Laos,2025,0.7436,0.0
104,139,Bhutan,2025,0.7223999999999999,0.0
0,1,Guyana,2025,0.6952,0.0
6,7,Argentina,2025,0.6679,0.0
56,76,Equatorial Guinea,2025,0.6583,0.0
49,58,Mongolia,2025,0.6415,0.0
149,232,Kosovo,2025,0.5751000000000001,0.0
22,25,Jamaica,2025,0.5561,0.0
21,23,Dominican Republic,2025,0.5491,0.0
11,12,Paraguay,2025,0.5277000000000001,0.0
115,154,Botswana,2025,0.5222,0.0
112,151,Vietnam,2025,0.504,0.0
1,2,Suriname,2025,0.5024,0.0
29,33,Nicaragua,2025,0.4979,0.0
69,93,Greece,2025,0.4926,0.0
84,112,Finland,2025,0.4918,0.0
52,64,Norway,2025,0.4656,0.0
95,127,Bahrain,2025,0.46540000000000004,0.0
71,98,Czech Republic,2025,0.4622,0.0
25,29,Costa Rica,2025,0.4576,0.0
51,63,Kazakhstan,2025,0.452,0.0
78,105,France,2025,0.4376,0.0
110,147,Cambodia,2025,0.4353,0.0
13,14,Uruguay,2025,0.427,0.0
101,135,Nepal,2025,0.4239,0.0
53,66,Sweden,2025,0.4197,0.0
128,170,Namibia,2025,0.41659999999999997,0.0
58,80,Sao Tome and Principe,2025,0.4104,0.0
43,49,Guinea-Bissau,2025,0.4074,0.0
30,34,Panama,2025,0.3939,0.0
34,38,Ireland,2025,0.3769,0.0
91,121,Sri Lanka,2025,0.3744,0.0
26,30,Cuba,2025,0.3688,0.0
120,160,Lesotho,2025,0.3685,0.0
150,233,Serbia,2025,0.3631,0.0
131,173,Mauritius,2025,0.3453,0.0
87,115,Moldova,2025,0.3371,0.0
139,182,Vanuatu,2025,0.32630000000000003,0.0
109,146,South Korea,2025,0.3113,0.0
126,168,Fiji,2025,0.3057,0.0
81,109,Switzerland,2025,0.3018,0.0
141,184,Germany,2025,0.2996,0.0
39,43,Liberia,2025,0.296,0.0
70,97,Austria,2025,0.2798,0.0
106,142,Japan,2025,0.2777,0.0
72,99,Denmark,2025,0.2761,0.0
76,103,Slovenia,2025,0.2728,0.0
57,77,Kiribati,2025,0.2723,0.0
135,178,Nauru,2025,0.27190000000000003,0.0
77,104,Belgium,2025,0.2694,0.0
145,206,Singapore,2025,0.2649,0.0
140,183,Canada,2025,0.2591,0.0
63,85,Italy,2025,0.2578,0.0
148,231,Montenegro,2025,0.2575,0.0
89,118,Maldives,2025,0.2559,0.0
41,46,Spain,2025,0.2539,0.0
138,181,Tuvalu,2025,0.2445,0.0
46,54,The Gambia,2025,0.2422,0.0
137,180,Solomon Is.,2025,0.2371,0.0
17,19,Dominica,2025,0.2367,0.0
60,82,Albania,2025,0.2357,0.0
61,83,Bosnia and Herzegovina,2025,0.23349999999999999,0.0
