country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
222,Egypt,2025,7.8316,1.0,683.16,no-conflict
244,Mauritania,2025,6.2919,1.0,529.19,no-conflict
213,Libya,2025,9.829,2.0,391.45000000000005,no-conflict
198,Taiwan,2025,7.0559,2.0,252.79500000000002,no-conflict
199,China,2025,2.7047,1.0,170.47,no-conflict
67,Algeria,2025,7.7253,3.0,157.51,no-conflict
9,Brazil,2025,53.8423,23.0,134.09695652173914,conflict
17,Mexico,2025,41.4625,18.0,130.34722222222223,conflict
41,Cote d'Ivoire,2025,2.1045,1.0,110.44999999999999,no-conflict
81,Togo,2025,37.1,21.0,76.66666666666667,conflict
164,Swaziland,2025,3.2954,2.0,64.77,no-conflict
119,Oman,2025,13.3058,9.0,47.84222222222222,no-conflict
163,South Africa,2025,8.3713,6.0,39.52166666666666,no-conflict
55,Djibouti,2025,2.5425,2.0,27.125,no-conflict
159,Comoros,2025,1.2508,1.0,25.07999999999999,no-conflict
13,Peru,2025,6.9907,6.0,16.51166666666667,no-conflict
73,Tunisia,2025,4.4455,4.0,11.1375,no-conflict
131,Saudi Arabia,2025,8.2623,9.0,-8.196666666666669,no-conflict
10,Chile,2025,2.6032,3.0,-13.226666666666661,no-conflict
235,Uganda,2025,12.8737,16.0,-19.539375000000003,no-conflict
234,United States,2025,3.7619000000000002,5.0,-24.761999999999993,no-conflict
11,Ecuador,2025,5.4685,9.0,-39.23888888888889,no-conflict
165,Angola,2025,11.6145,21.0,-44.69285714285714,no-conflict
125,Armenia,2025,4.8576,11.0,-55.84,no-conflict
243,Morocco,2025,3.4587,9.0,-61.56999999999999,no-conflict
4,Venezuela,2025,15.3519,0.0,,no-conflict
172,Madagascar,2025,10.2329,0.0,,no-conflict
137,Tajikistan,2025,3.8466,0.0,,no-conflict
134,Kyrgyzstan,2025,3.5665999999999998,0.0,,no-conflict
16,Guatemala,2025,3.1592000000000002,0.0,,no-conflict
157,Zambia,2025,3.0951999999999997,0.0,,no-conflict
242,Tanzania,2025,3.0227,0.0,,no-conflict
62,Jordan,2025,2.761,0.0,,no-conflict
56,Eritrea,2025,2.3458,0.0,,no-conflict
101,Poland,2025,2.0613,0.0,,no-conflict
156,Rwanda,2025,1.8625,0.0,,no-conflict
179,Papua New Guinea,2025,1.8369,0.0,,no-conflict
158,Zimbabwe,2025,1.7112,0.0,,no-conflict
48,Guinea,2025,1.567,0.0,,no-conflict
166,Congo,2025,1.3911,0.0,,no-conflict
132,United Arab Emirates,2025,1.3908,0.0,,no-conflict
42,Ghana,2025,1.3441,0.0,,no-conflict
143,North Korea,2025,1.2357,0.0,,no-conflict
177,Australia,2025,1.1942,0.0,,no-conflict
100,Hungary,2025,1.1572,0.0,,no-conflict
25,Jamaica,2025,1.0953,0.0,,no-conflict
27,Belize,2025,1.0775000000000001,0.0,,no-conflict
116,Romania,2025,1.0269,0.0,,no-conflict
8,Bolivia,2025,1.0179,0.0,,no-conflict
3,Trinidad and Tobago,2025,1.0092,0.0,,no-conflict
52,Senegal,2025,0.9627,0.0,,no-conflict
53,Sierra Leone,2025,0.8935,0.0,,no-conflict
