,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
47,222,Egypt,2025,7.8316,1.0,683.16,low
51,244,Mauritania,2025,6.2919,1.0,529.19,low
44,213,Libya,2025,9.829,2.0,391.45000000000005,low
49,198,Taiwan,2025,7.0559,2.0,252.79500000000002,low
64,199,China,2025,2.7047,1.0,170.47,low
48,67,Algeria,2025,7.7253,3.0,157.51,low
68,41,Cote d'Ivoire,2025,2.1045,1.0,110.44999999999999,low
59,164,Swaziland,2025,3.2954,2.0,64.77,low
39,119,Oman,2025,13.3058,9.0,47.84222222222222,low
45,163,South Africa,2025,8.3713,6.0,39.52166666666666,low
66,55,Djibouti,2025,2.5425,2.0,27.125,low
77,159,Comoros,2025,1.2508,1.0,25.07999999999999,low
50,13,Peru,2025,6.9907,6.0,16.51166666666667,low
54,73,Tunisia,2025,4.4455,4.0,11.1375,low
46,131,Saudi Arabia,2025,8.2623,9.0,-8.196666666666669,low
65,10,Chile,2025,2.6032,3.0,-13.226666666666661,low
40,235,Uganda,2025,12.8737,16.0,-19.539375000000003,low
56,234,United States,2025,3.7619000000000002,5.0,-24.761999999999993,low
52,11,Ecuador,2025,5.4685,9.0,-39.23888888888889,low
41,165,Angola,2025,11.6145,21.0,-44.69285714285714,low
53,125,Armenia,2025,4.8576,11.0,-55.84,low
58,243,Morocco,2025,3.4587,9.0,-61.56999999999999,low
37,155,Burundi,2025,23.0289,122.0,-81.1238524590164,low
42,126,Azerbaijan,2025,11.4531,430.0,-97.33648837209302,low
38,4,Venezuela,2025,15.3519,0.0,,low
43,172,Madagascar,2025,10.2329,0.0,,low
55,137,Tajikistan,2025,3.8466,0.0,,low
57,134,Kyrgyzstan,2025,3.5665999999999998,0.0,,low
60,16,Guatemala,2025,3.1592000000000002,0.0,,low
61,157,Zambia,2025,3.0951999999999997,0.0,,low
62,242,Tanzania,2025,3.0227,0.0,,low
63,62,Jordan,2025,2.761,0.0,,low
67,56,Eritrea,2025,2.3458,0.0,,low
69,101,Poland,2025,2.0613,0.0,,low
70,156,Rwanda,2025,1.8625,0.0,,low
71,179,Papua New Guinea,2025,1.8369,0.0,,low
72,158,Zimbabwe,2025,1.7112,0.0,,low
73,48,Guinea,2025,1.567,0.0,,low
74,166,Congo,2025,1.3911,0.0,,low
75,132,United Arab Emirates,2025,1.3908,0.0,,low
76,42,Ghana,2025,1.3441,0.0,,low
78,143,North Korea,2025,1.2357,0.0,,low
79,177,Australia,2025,1.1942,0.0,,low
80,100,Hungary,2025,1.1572,0.0,,low
81,25,Jamaica,2025,1.0953,0.0,,low
82,27,Belize,2025,1.0775000000000001,0.0,,low
83,116,Romania,2025,1.0269,0.0,,low
84,8,Bolivia,2025,1.0179,0.0,,low
85,3,Trinidad and Tobago,2025,1.0092,0.0,,low
86,52,Senegal,2025,0.9627,0.0,,low
87,53,Sierra Leone,2025,0.8935,0.0,,low
88,122,Turkmenistan,2025,0.8931,0.0,,low
89,129,Kuwait,2025,0.8531,0.0,,low
90,32,Honduras,2025,0.8386,0.0,,low
91,123,Uzbekistan,2025,0.8293,0.0,,low
92,161,Malawi,2025,0.8284,0.0,,low
93,31,El Salvador,2025,0.7464,0.0,,low
94,92,Georgia,2025,0.7306,0.0,,low
95,102,Slovakia,2025,0.7266,0.0,,low
96,89,Bulgaria,2025,0.6798,0.0,,low
97,110,Belarus,2025,0.6636,0.0,,low
98,7,Argentina,2025,0.6398,0.0,,low
99,205,Malaysia,2025,0.6275,0.0,,low
100,148,Laos,2025,0.5883,0.0,,low
101,169,Gabon,2025,0.5849,0.0,,low
102,130,Qatar,2025,0.5087,0.0,,low
103,66,Sweden,2025,0.5068,0.0,,low
104,1,Guyana,2025,0.5064,0.0,,low
105,232,Kosovo,2025,0.4983,0.0,,low
106,76,Equatorial Guinea,2025,0.4945,0.0,,low
107,58,Mongolia,2025,0.49319999999999997,0.0,,low
108,139,Bhutan,2025,0.4823,0.0,,low
109,23,Dominican Republic,2025,0.4809,0.0,,low
110,112,Finland,2025,0.4592,0.0,,low
111,12,Paraguay,2025,0.4475,0.0,,low
112,2,Suriname,2025,0.4453,0.0,,low
113,64,Norway,2025,0.4393,0.0,,low
114,63,Kazakhstan,2025,0.426,0.0,,low
115,135,Nepal,2025,0.42,0.0,,low
116,14,Uruguay,2025,0.4085,0.0,,low
117,33,Nicaragua,2025,0.40359999999999996,0.0,,low
118,184,Germany,2025,0.39990000000000003,0.0,,low
119,105,France,2025,0.39299999999999996,0.0,,low
120,151,Vietnam,2025,0.375,0.0,,low
121,38,Ireland,2025,0.36360000000000003,0.0,,low
122,80,Sao Tome and Principe,2025,0.3578,0.0,,low
123,49,Guinea-Bissau,2025,0.3568,0.0,,low
124,147,Cambodia,2025,0.3548,0.0,,low
125,93,Greece,2025,0.35409999999999997,0.0,,low
126,233,Serbia,2025,0.3489,0.0,,low
127,121,Sri Lanka,2025,0.3436,0.0,,low
128,34,Panama,2025,0.3372,0.0,,low
129,83,Bosnia and Herzegovina,2025,0.3357,0.0,,low
130,154,Botswana,2025,0.3317,0.0,,low
131,170,Namibia,2025,0.3312,0.0,,low
132,29,Costa Rica,2025,0.3279,0.0,,low
133,30,Cuba,2025,0.32589999999999997,0.0,,low
134,127,Bahrain,2025,0.3126,0.0,,low
135,115,Moldova,2025,0.3114,0.0,,low
136,97,Austria,2025,0.3099,0.0,,low
137,173,Mauritius,2025,0.3061,0.0,,low
138,109,Switzerland,2025,0.275,0.0,,low
139,146,South Korea,2025,0.2703,0.0,,low
140,160,Lesotho,2025,0.262,0.0,,low
141,103,Slovenia,2025,0.2602,0.0,,low
142,182,Vanuatu,2025,0.2493,0.0,,low
143,99,Denmark,2025,0.2491,0.0,,low
144,142,Japan,2025,0.2472,0.0,,low
145,43,Liberia,2025,0.24710000000000001,0.0,,low
146,85,Italy,2025,0.2334,0.0,,low
147,104,Belgium,2025,0.231,0.0,,low
148,46,Spain,2025,0.2194,0.0,,low
149,98,Czech Republic,2025,0.2184,0.0,,low
150,183,Canada,2025,0.218,0.0,,low
151,206,Singapore,2025,0.214,0.0,,low
152,168,Fiji,2025,0.2138,0.0,,low
153,82,Albania,2025,0.2091,0.0,,low
154,35,Antigua and Barbuda,2025,0.20879999999999999,0.0,,low
155,36,St. Kitts and Nevis,2025,0.2082,0.0,,low
156,19,Dominica,2025,0.20779999999999998,0.0,,low
