,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
27,9,Brazil,2025,53.8423,23.0,134.09695652173914,medium
32,17,Mexico,2025,41.4625,18.0,130.34722222222223,medium
26,138,Bangladesh,2025,65.4523,34.0,92.50676470588233,medium
34,81,Togo,2025,37.1,21.0,76.66666666666667,medium
31,150,Thailand,2025,43.3555,34.0,27.51617647058823,medium
35,246,South Sudan,2025,28.2094,26.0,8.497692307692303,medium
36,96,Turkey,2025,26.327199999999998,26.0,1.2584615384615296,medium
28,74,Benin,2025,51.0869,69.0,-25.961014492753627,medium
29,209,Indonesia,2025,46.7898,72.0,-35.01416666666667,medium
30,214,Chad,2025,44.4069,120.0,-62.994249999999994,medium
33,128,Iran,2025,38.7131,164.0,-76.39445121951219,medium
