,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
48,164,Swaziland,2026,6.7469,2.0,237.345,no-conflict
44,222,Egypt,2026,7.89,3.0,163.0,no-conflict
34,213,Libya,2026,30.0423,12.0,150.3525,conflict
43,126,Azerbaijan,2026,8.4567,4.0,111.41749999999999,no-conflict
18,145,Philippines,2026,276.4759,135.0,104.796962962963,conflict
32,9,Brazil,2026,34.2533,18.0,90.29611111111113,conflict
25,237,Kenya,2026,87.8107,47.0,86.83127659574468,conflict
62,25,Jamaica,2026,1.6529,1.0,65.29,no-conflict
45,131,Saudi Arabia,2026,7.7224,5.0,54.44800000000001,no-conflict
41,179,Papua New Guinea,2026,9.2627,6.0,54.37833333333334,no-conflict
58,42,Ghana,2026,2.7933,2.0,39.66499999999999,no-conflict
2,120,Somalia,2026,4720.7567,3584.0,31.717541852678572,conflict
46,138,Bangladesh,2026,7.3925,6.0,23.208333333333332,no-conflict
10,50,Mali,2026,1542.6871,1290.0,19.588147286821712,conflict
22,60,Iraq,2026,219.57999999999998,193.0,13.772020725388593,conflict
14,223,India,2026,610.8404,554.0,10.260000000000009,conflict
9,124,Yemen,2026,1568.5836,1430.0,9.691160839160833,conflict
3,136,Pakistan,2026,3387.7991,3149.0,7.583331216259135,conflict
31,17,Mexico,2026,35.1445,33.0,6.498484848484851,conflict
20,162,Mozambique,2026,264.2711,249.0,6.132971887550196,conflict
38,81,Togo,2026,14.474,14.0,3.385714285714287,no-conflict
21,69,Cameroon,2026,240.1988,241.0,-0.3324481327800807,conflict
4,79,Nigeria,2026,3352.6805,3706.0,-9.533715596330277,conflict
53,156,Rwanda,2026,4.4854,5.0,-10.291999999999994,no-conflict
16,28,Colombia,2026,318.5007,364.0,-12.499807692307693,conflict
17,133,Afghanistan,2026,311.9019,374.0,-16.603770053475934,conflict
42,147,Cambodia,2026,9.068999999999999,11.0,-17.554545454545465,no-conflict
8,149,Myanmar,2026,1631.3795,2139.0,-23.731673679289386,conflict
33,214,Chad,2026,32.7343,43.0,-23.873720930232565,conflict
77,41,Cote d'Ivoire,2026,0.7452,1.0,-25.480000000000004,no-conflict
6,220,Syria,2026,2350.1096,3432.0,-31.523613053613058,conflict
49,235,Uganda,2026,5.3922,8.0,-32.597500000000004,no-conflict
52,137,Tajikistan,2026,4.5679,7.0,-34.744285714285716,no-conflict
7,47,Burkina Faso,2026,1755.0661,2829.0,-37.96160834217038,conflict
29,150,Thailand,2026,46.6271,77.0,-39.44532467532468,conflict
0,218,Israel,2026,9205.1493,16777.0,-45.13232818739942,conflict
27,209,Indonesia,2026,59.5009,119.0,-49.99924369747899,conflict
50,243,Morocco,2026,4.9559,10.0,-50.441,no-conflict
37,165,Angola,2026,15.6328,34.0,-54.02117647058824,no-conflict
56,23,Dominican Republic,2026,3.0701,7.0,-56.14142857142858,no-conflict
15,78,Niger,2026,432.16409999999996,1001.0,-56.82676323676324,conflict
40,11,Ecuador,2026,9.7672,23.0,-57.53391304347826,no-conflict
12,57,Ethiopia,2026,1015.9319,2394.0,-57.5634126984127,conflict
23,24,Haiti,2026,219.3437,583.0,-62.37672384219554,conflict
5,245,Sudan,2026,3119.7352,8358.0,-62.67366355587461,conflict
11,167,"Congo, DRC",2026,1478.2865000000002,3983.0,-62.88509917147878,conflict
26,70,Central African Republic,2026,71.7968,226.0,-68.23150442477875,conflict
74,234,United States,2026,0.8228,3.0,-72.57333333333334,no-conflict
30,74,Benin,2026,36.1902,168.0,-78.45821428571428,conflict
19,128,Iran,2026,274.48199999999997,1307.0,-78.9990818668707,conflict
28,246,South Sudan,2026,58.0371,319.0,-81.80655172413793,conflict
1,117,Ukraine,2026,9203.3668,69676.0,-86.79119524656983,conflict
51,4,Venezuela,2026,4.6924,36.0,-86.96555555555557,no-conflict
24,94,Lebanon,2026,184.31799999999998,1506.0,-87.76108897742364,conflict
55,67,Algeria,2026,4.1701999999999995,35.0,-88.08514285714286,no-conflict
13,65,Russia,2026,664.2017,7279.0,-90.87509685396347,conflict
104,130,Qatar,2026,0.2231,6.0,-96.28166666666668,no-conflict
35,163,South Africa,2026,24.2466,0.0,,no-conflict
36,96,Turkey,2026,18.948,0.0,,no-conflict
39,155,Burundi,2026,10.0281,0.0,,no-conflict
47,148,Laos,2026,7.0309,0.0,,no-conflict
54,13,Peru,2026,4.4761,0.0,,no-conflict
57,16,Guatemala,2026,3.0107,0.0,,no-conflict
59,244,Mauritania,2026,1.8857,0.0,,no-conflict
60,73,Tunisia,2026,1.7442,0.0,,no-conflict
61,125,Armenia,2026,1.6842,0.0,,no-conflict
63,242,Tanzania,2026,1.5698,0.0,,no-conflict
64,199,China,2026,1.559,0.0,,no-conflict
65,62,Jordan,2026,1.4281,0.0,,no-conflict
66,158,Zimbabwe,2026,1.4081000000000001,0.0,,no-conflict
67,157,Zambia,2026,1.2423,0.0,,no-conflict
68,48,Guinea,2026,1.0945,0.0,,no-conflict
69,119,Oman,2026,1.032,0.0,,no-conflict
70,134,Kyrgyzstan,2026,1.0131000000000001,0.0,,no-conflict
71,151,Vietnam,2026,0.9195,0.0,,no-conflict
72,56,Eritrea,2026,0.872,0.0,,no-conflict
73,55,Djibouti,2026,0.8658,0.0,,no-conflict
75,172,Madagascar,2026,0.8144,0.0,,no-conflict
76,8,Bolivia,2026,0.7474000000000001,0.0,,no-conflict
78,27,Belize,2026,0.7367,0.0,,no-conflict
79,166,Congo,2026,0.7125,0.0,,no-conflict
80,110,Belarus,2026,0.6725,0.0,,no-conflict
81,76,Equatorial Guinea,2026,0.6607,0.0,,no-conflict
82,177,Australia,2026,0.5918,0.0,,no-conflict
83,143,North Korea,2026,0.5861,0.0,,no-conflict
84,129,Kuwait,2026,0.5546,0.0,,no-conflict
85,100,Hungary,2026,0.4725,0.0,,no-conflict
86,33,Nicaragua,2026,0.4628,0.0,,no-conflict
87,122,Turkmenistan,2026,0.4609,0.0,,no-conflict
88,123,Uzbekistan,2026,0.4514,0.0,,no-conflict
89,3,Trinidad and Tobago,2026,0.4257,0.0,,no-conflict
90,161,Malawi,2026,0.3711,0.0,,no-conflict
91,31,El Salvador,2026,0.342,0.0,,no-conflict
