,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
34,213,Libya,2026,30.0423,12.0,150.3525,conflict
18,145,Philippines,2026,276.4759,135.0,104.796962962963,conflict
32,9,Brazil,2026,34.2533,18.0,90.29611111111113,conflict
25,237,Kenya,2026,87.8107,47.0,86.83127659574468,conflict
2,120,Somalia,2026,4720.7567,3584.0,31.717541852678572,conflict
10,50,Mali,2026,1542.6871,1290.0,19.588147286821712,conflict
22,60,Iraq,2026,219.57999999999998,193.0,13.772020725388593,conflict
14,223,India,2026,610.8404,554.0,10.260000000000009,conflict
9,124,Yemen,2026,1568.5836,1430.0,9.691160839160833,conflict
3,136,Pakistan,2026,3387.7991,3149.0,7.583331216259135,conflict
31,17,Mexico,2026,35.1445,33.0,6.498484848484851,conflict
20,162,Mozambique,2026,264.2711,249.0,6.132971887550196,conflict
21,69,Cameroon,2026,240.1988,241.0,-0.3324481327800807,conflict
4,79,Nigeria,2026,3352.6805,3706.0,-9.533715596330277,conflict
16,28,Colombia,2026,318.5007,364.0,-12.499807692307693,conflict
17,133,Afghanistan,2026,311.9019,374.0,-16.603770053475934,conflict
8,149,Myanmar,2026,1631.3795,2139.0,-23.731673679289386,conflict
33,214,Chad,2026,32.7343,43.0,-23.873720930232565,conflict
6,220,Syria,2026,2350.1096,3432.0,-31.523613053613058,conflict
7,47,Burkina Faso,2026,1755.0661,2829.0,-37.96160834217038,conflict
29,150,Thailand,2026,46.6271,77.0,-39.44532467532468,conflict
0,218,Israel,2026,9205.1493,16777.0,-45.13232818739942,conflict
27,209,Indonesia,2026,59.5009,119.0,-49.99924369747899,conflict
15,78,Niger,2026,432.16409999999996,1001.0,-56.82676323676324,conflict
12,57,Ethiopia,2026,1015.9319,2394.0,-57.5634126984127,conflict
23,24,Haiti,2026,219.3437,583.0,-62.37672384219554,conflict
5,245,Sudan,2026,3119.7352,8358.0,-62.67366355587461,conflict
11,167,"Congo, DRC",2026,1478.2865000000002,3983.0,-62.88509917147878,conflict
26,70,Central African Republic,2026,71.7968,226.0,-68.23150442477875,conflict
30,74,Benin,2026,36.1902,168.0,-78.45821428571428,conflict
19,128,Iran,2026,274.48199999999997,1307.0,-78.9990818668707,conflict
28,246,South Sudan,2026,58.0371,319.0,-81.80655172413793,conflict
1,117,Ukraine,2026,9203.3668,69676.0,-86.79119524656983,conflict
24,94,Lebanon,2026,184.31799999999998,1506.0,-87.76108897742364,conflict
13,65,Russia,2026,664.2017,7279.0,-90.87509685396347,conflict
