,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
18,145,Philippines,2026,276.4759,135.0,104.796962962963,high
22,60,Iraq,2026,219.57999999999998,193.0,13.772020725388593,high
14,223,India,2026,610.8404,554.0,10.260000000000009,high
20,162,Mozambique,2026,264.2711,249.0,6.132971887550196,high
21,69,Cameroon,2026,240.1988,241.0,-0.3324481327800807,high
16,28,Colombia,2026,318.5007,364.0,-12.499807692307693,high
17,133,Afghanistan,2026,311.9019,374.0,-16.603770053475934,high
15,78,Niger,2026,432.16409999999996,1001.0,-56.82676323676324,high
23,24,Haiti,2026,219.3437,583.0,-62.37672384219554,high
19,128,Iran,2026,274.48199999999997,1307.0,-78.9990818668707,high
24,94,Lebanon,2026,184.31799999999998,1506.0,-87.76108897742364,high
13,65,Russia,2026,664.2017,7279.0,-90.87509685396347,high
