,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
2,120,Somalia,2026,4720.7567,3584.0,31.717541852678572,war
10,50,Mali,2026,1542.6871,1290.0,19.588147286821712,war
9,124,Yemen,2026,1568.5836,1430.0,9.691160839160833,war
3,136,Pakistan,2026,3387.7991,3149.0,7.583331216259135,war
4,79,Nigeria,2026,3352.6805,3706.0,-9.533715596330277,war
8,149,Myanmar,2026,1631.3795,2139.0,-23.731673679289386,war
6,220,Syria,2026,2350.1096,3432.0,-31.523613053613058,war
7,47,Burkina Faso,2026,1755.0661,2829.0,-37.96160834217038,war
0,218,Israel,2026,9205.1493,16777.0,-45.13232818739942,war
12,57,Ethiopia,2026,1015.9319,2394.0,-57.5634126984127,war
5,245,Sudan,2026,3119.7352,8358.0,-62.67366355587461,war
11,167,"Congo, DRC",2026,1478.2865000000002,3983.0,-62.88509917147878,war
1,117,Ukraine,2026,9203.3668,69676.0,-86.79119524656983,war
