,country_id,country,year,main_mean
705,218,Israel,2026,9205.1493
413,117,Ukraine,2026,9203.3668
425,120,Somalia,2026,4720.7567
489,136,Pakistan,2026,3387.7991
277,79,Nigeria,2026,3352.6805
757,245,Sudan,2026,3119.7352
709,220,Syria,2026,2350.1096
177,47,Burkina Faso,2026,1755.0661
537,149,Myanmar,2026,1631.3795
441,124,Yemen,2026,1568.5836
189,50,Mali,2026,1542.6871
609,167,"Congo, DRC",2026,1478.2865000000002
213,57,Ethiopia,2026,1015.9319
237,65,Russia,2026,664.2017
717,223,India,2026,610.8404
273,78,Niger,2026,432.16409999999996
105,28,Colombia,2026,318.5007
477,133,Afghanistan,2026,311.9019
521,145,Philippines,2026,276.4759
457,128,Iran,2026,274.48199999999997
589,162,Mozambique,2026,264.2711
249,69,Cameroon,2026,240.1988
221,60,Iraq,2026,219.57999999999998
89,24,Haiti,2026,219.3437
329,94,Lebanon,2026,184.31799999999998
741,237,Kenya,2026,87.8107
253,70,Central African Republic,2026,71.7968
693,209,Indonesia,2026,59.5009
761,246,South Sudan,2026,58.0371
541,150,Thailand,2026,46.6271
261,74,Benin,2026,36.1902
61,17,Mexico,2026,35.1445
33,9,Brazil,2026,34.2533
701,214,Chad,2026,32.7343
697,213,Libya,2026,30.0423
593,163,South Africa,2026,24.2466
333,96,Turkey,2026,18.948
601,165,Angola,2026,15.6328
285,81,Togo,2026,14.474
561,155,Burundi,2026,10.0281
41,11,Ecuador,2026,9.7672
653,179,Papua New Guinea,2026,9.2627
529,147,Cambodia,2026,9.068999999999999
449,126,Azerbaijan,2026,8.4567
713,222,Egypt,2026,7.89
469,131,Saudi Arabia,2026,7.7224
497,138,Bangladesh,2026,7.3925
533,148,Laos,2026,7.0309
597,164,Swaziland,2026,6.7469
737,235,Uganda,2026,5.3922
749,243,Morocco,2026,4.9559
13,4,Venezuela,2026,4.6924
493,137,Tajikistan,2026,4.5679
565,156,Rwanda,2026,4.4854
49,13,Peru,2026,4.4761
245,67,Algeria,2026,4.1701999999999995
85,23,Dominican Republic,2026,3.0701
57,16,Guatemala,2026,3.0107
161,42,Ghana,2026,2.7933
753,244,Mauritania,2026,1.8857
257,73,Tunisia,2026,1.7442
445,125,Armenia,2026,1.6842
93,25,Jamaica,2026,1.6529
