,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
17,133,Afghanistan,2025,510.69230000000005,158.0,223.22297468354435,high
16,60,Iraq,2025,559.7169,314.0,78.25378980891719,high
21,162,Mozambique,2025,243.2178,140.0,73.727,high
19,145,Philippines,2025,350.1389,243.0,44.09008230452674,high
24,237,Kenya,2025,166.5329,116.0,43.56284482758622,high
22,28,Colombia,2025,202.6436,145.0,39.75420689655172,high
18,69,Cameroon,2025,475.5378,346.0,37.43867052023121,high
15,65,Russia,2025,576.617,649.0,-11.153004622496155,high
20,94,Lebanon,2025,283.7572,368.0,-22.892065217391302,high
23,70,Central African Republic,2025,188.7235,299.0,-36.881772575250835,high
