,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
44,244,Mauritania,2025,10.0963,1.0,909.6299999999999,low
45,222,Egypt,2025,9.7565,1.0,875.6500000000001,low
42,213,Libya,2025,12.4152,2.0,520.76,low
40,67,Algeria,2025,13.9108,3.0,363.6933333333333,low
49,198,Taiwan,2025,7.4916,2.0,274.58,low
61,199,China,2025,3.1592000000000002,1.0,215.92000000000002,low
38,119,Oman,2025,23.1448,9.0,157.16444444444443,low
66,41,Cote d'Ivoire,2025,2.4587,1.0,145.86999999999998,low
59,164,Swaziland,2025,3.9044999999999996,2.0,95.22499999999998,low
46,163,South Africa,2025,9.6778,6.0,61.29666666666665,low
52,73,Tunisia,2025,6.0779,4.0,51.94749999999999,low
62,55,Djibouti,2025,2.9653,2.0,48.265,low
77,159,Comoros,2025,1.3723,1.0,37.230000000000004,low
48,13,Peru,2025,7.5727,6.0,26.211666666666673,low
53,234,United States,2025,5.5390999999999995,5.0,10.78199999999999,low
47,131,Saudi Arabia,2025,9.0801,9.0,0.8899999999999982,low
39,235,Uganda,2025,15.208,16.0,-4.949999999999999,low
65,10,Chile,2025,2.541,3.0,-15.300000000000002,low
50,11,Ecuador,2025,6.8077000000000005,9.0,-24.35888888888888,low
41,165,Angola,2025,13.8857,21.0,-33.87761904761904,low
55,243,Morocco,2025,4.4385,9.0,-50.68333333333332,low
54,125,Armenia,2025,4.9855,11.0,-54.67727272727273,low
43,126,Azerbaijan,2025,11.5308,430.0,-97.31841860465116,low
51,4,Venezuela,2025,6.6825,0.0,,low
56,137,Tajikistan,2025,4.246,0.0,,low
57,134,Kyrgyzstan,2025,3.9828,0.0,,low
58,157,Zambia,2025,3.9121,0.0,,low
60,242,Tanzania,2025,3.6462,0.0,,low
63,172,Madagascar,2025,2.8789,0.0,,low
64,101,Poland,2025,2.5918,0.0,,low
67,179,Papua New Guinea,2025,2.4248000000000003,0.0,,low
68,62,Jordan,2025,2.4066,0.0,,low
69,156,Rwanda,2025,2.2462999999999997,0.0,,low
70,158,Zimbabwe,2025,2.1551,0.0,,low
