,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
25,9,Brazil,2025,82.972,23.0,260.7478260869565,medium
32,81,Togo,2025,39.8617,21.0,89.81761904761905,medium
36,17,Mexico,2025,32.1153,18.0,78.41833333333332,medium
33,246,South Sudan,2025,38.2892,26.0,47.266153846153856,medium
35,96,Turkey,2025,33.0382,26.0,27.07000000000001,medium
34,150,Thailand,2025,34.6013,34.0,1.7685294117647115,medium
27,209,Indonesia,2025,65.8769,72.0,-8.504305555555547,medium
28,74,Benin,2025,63.1172,69.0,-8.52579710144928,medium
37,138,Bangladesh,2025,29.7549,34.0,-12.48558823529412,medium
26,24,Haiti,2025,72.5015,170.0,-57.35205882352942,medium
30,214,Chad,2025,43.4148,120.0,-63.821000000000005,medium
31,155,Burundi,2025,41.8195,122.0,-65.7217213114754,medium
29,128,Iran,2025,46.6495,164.0,-71.55518292682926,medium
