,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
0,220,Syria,2025,9439.7886,2011.0,369.4076877175534,war
14,223,India,2025,1112.3741,373.0,198.22361930294906,war
6,136,Pakistan,2025,3896.1642,1325.0,194.05012830188682,war
2,120,Somalia,2025,6256.1693,2232.0,180.2943234767025,war
10,167,"Congo, DRC",2025,2006.7298,818.0,145.3214914425428,war
12,124,Yemen,2025,1292.7959,575.0,124.8340695652174,war
1,79,Nigeria,2025,6832.9088,3374.0,102.51656194427979,war
11,50,Mali,2025,1880.1999,1322.0,42.22389561270802,war
7,57,Ethiopia,2025,3875.7457,2768.0,40.019714595375724,war
13,78,Niger,2025,1119.7314000000001,820.0,36.552609756097574,war
5,47,Burkina Faso,2025,4207.7894,3231.0,30.231798204890115,war
8,149,Myanmar,2025,3186.0508,2602.0,22.44622598001537,war
9,245,Sudan,2025,2854.7441,3965.0,-28.001409836065577,war
4,218,Israel,2025,4746.6493,35802.0,-86.74194374615944,war
3,117,Ukraine,2025,5749.8372,52174.0,-88.97949706750488,war
