,country_id,country,year,main_mean,actuals_last_12months
0,9,Brazil,2025,82.972,23.0
1,81,Togo,2025,39.8617,21.0
2,17,Mexico,2025,32.1153,18.0
3,119,Oman,2025,23.1448,9.0
4,235,Uganda,2025,15.208,16.0
5,67,Algeria,2025,13.9108,3.0
6,165,Angola,2025,13.8857,21.0
7,213,Libya,2025,12.4152,2.0
8,244,Mauritania,2025,10.0963,1.0
9,222,Egypt,2025,9.7565,1.0
10,163,South Africa,2025,9.6778,6.0
11,131,Saudi Arabia,2025,9.0801,9.0
12,13,Peru,2025,7.5727,6.0
13,198,Taiwan,2025,7.4916,2.0
14,11,Ecuador,2025,6.8077000000000005,9.0
15,4,Venezuela,2025,6.6825,0.0
16,73,Tunisia,2025,6.0779,4.0
17,234,United States,2025,5.5390999999999995,5.0
18,125,Armenia,2025,4.9855,11.0
19,243,Morocco,2025,4.4385,9.0
20,137,Tajikistan,2025,4.246,0.0
21,134,Kyrgyzstan,2025,3.9828,0.0
22,157,Zambia,2025,3.9121,0.0
23,164,Swaziland,2025,3.9044999999999996,2.0
24,242,Tanzania,2025,3.6462,0.0
25,199,China,2025,3.1592000000000002,1.0
26,55,Djibouti,2025,2.9653,2.0
27,172,Madagascar,2025,2.8789,0.0
28,101,Poland,2025,2.5918,0.0
29,10,Chile,2025,2.541,3.0
30,41,Cote d'Ivoire,2025,2.4587,1.0
31,179,Papua New Guinea,2025,2.4248000000000003,0.0
32,62,Jordan,2025,2.4066,0.0
33,156,Rwanda,2025,2.2462999999999997,0.0
34,158,Zimbabwe,2025,2.1551,0.0
35,48,Guinea,2025,1.9577,0.0
36,56,Eritrea,2025,1.9125,0.0
37,143,North Korea,2025,1.8706999999999998,0.0
38,166,Congo,2025,1.8084,0.0
39,32,Honduras,2025,1.7871000000000001,0.0
40,42,Ghana,2025,1.5604,0.0
41,159,Comoros,2025,1.3723,1.0
42,100,Hungary,2025,1.3149,0.0
43,8,Bolivia,2025,1.2337,0.0
44,177,Australia,2025,1.2197,0.0
45,16,Guatemala,2025,1.2122,0.0
46,3,Trinidad and Tobago,2025,1.2046999999999999,0.0
47,116,Romania,2025,1.1783000000000001,0.0
48,161,Malawi,2025,1.1635,0.0
49,110,Belarus,2025,1.0959,0.0
50,52,Senegal,2025,1.0678,0.0
51,129,Kuwait,2025,0.9962,0.0
52,53,Sierra Leone,2025,0.9561,0.0
53,122,Turkmenistan,2025,0.9366,0.0
54,92,Georgia,2025,0.9066,0.0
55,27,Belize,2025,0.8935,0.0
56,169,Gabon,2025,0.8867,0.0
57,89,Bulgaria,2025,0.8622,0.0
58,205,Malaysia,2025,0.8429,0.0
59,123,Uzbekistan,2025,0.8225,0.0
60,31,El Salvador,2025,0.7953,0.0
61,102,Slovakia,2025,0.7933,0.0
62,132,United Arab Emirates,2025,0.7913,0.0
63,130,Qatar,2025,0.7871,0.0
64,148,Laos,2025,0.7436,0.0
65,139,Bhutan,2025,0.7223999999999999,0.0
66,1,Guyana,2025,0.6952,0.0
67,7,Argentina,2025,0.6679,0.0
68,76,Equatorial Guinea,2025,0.6583,0.0
69,58,Mongolia,2025,0.6415,0.0
70,232,Kosovo,2025,0.5751000000000001,0.0
71,25,Jamaica,2025,0.5561,0.0
72,23,Dominican Republic,2025,0.5491,0.0
73,12,Paraguay,2025,0.5277000000000001,0.0
74,154,Botswana,2025,0.5222,0.0
75,151,Vietnam,2025,0.504,0.0
76,2,Suriname,2025,0.5024,0.0
77,33,Nicaragua,2025,0.4979,0.0
78,93,Greece,2025,0.4926,0.0
79,112,Finland,2025,0.4918,0.0
