,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
26,130,Qatar,2026,130.1226,6.0,2068.71,high
28,17,Mexico,2026,114.0841,33.0,245.70939393939395,high
30,9,Brazil,2026,60.6417,18.0,236.89833333333334,medium
17,69,Cameroon,2026,432.2337,241.0,79.35008298755186,high
24,209,Indonesia,2026,201.2073,119.0,69.08176470588235,high
38,213,Libya,2026,18.3769,12.0,53.140833333333326,low
33,67,Algeria,2026,52.327,35.0,49.505714285714284,medium
31,4,Venezuela,2026,53.3553,36.0,48.20916666666666,medium
57,25,Jamaica,2026,1.3820999999999999,1.0,38.20999999999999,low
20,162,Mozambique,2026,319.5106,249.0,28.31751004016065,high
36,11,Ecuador,2026,27.9774,23.0,21.64086956521739,medium
16,133,Afghanistan,2026,436.5935,374.0,16.736229946524066,high
18,28,Colombia,2026,415.2953,364.0,14.092115384615383,high
32,237,Kenya,2026,53.0112,47.0,12.789787234042556,medium
15,223,India,2026,585.9887,554.0,5.774133574007219,high
44,126,Azerbaijan,2026,4.2086,4.0,5.214999999999992,low
10,50,Mali,2026,1214.7262,1290.0,-5.835178294573638,war
27,145,Philippines,2026,123.6899,135.0,-8.377851851851856,high
8,124,Yemen,2026,1270.3514,1430.0,-11.16423776223776,war
43,131,Saudi Arabia,2026,4.3566,5.0,-12.867999999999997,low
52,222,Egypt,2026,2.5596,3.0,-14.679999999999996,low
46,156,Rwanda,2026,4.0867,5.0,-18.26599999999999,low
91,41,Cote d'Ivoire,2026,0.8079,1.0,-19.210000000000004,low
5,57,Ethiopia,2026,1835.9027999999998,2394.0,-23.312330827067676,war
21,246,South Sudan,2026,238.3255,319.0,-25.2898119122257,high
19,24,Haiti,2026,403.3834,583.0,-30.809022298456263,high
14,78,Niger,2026,681.9069,1001.0,-31.877432567432574,high
25,70,Central African Republic,2026,149.0016,226.0,-34.07008849557522,high
40,81,Togo,2026,9.1462,14.0,-34.669999999999995,low
41,147,Cambodia,2026,7.0404,11.0,-35.99636363636364,low
3,136,Pakistan,2026,1986.2099,3149.0,-36.92569387107018,war
37,214,Chad,2026,27.0168,43.0,-37.17023255813954,medium
61,42,Ghana,2026,1.1787,2.0,-41.065,low
11,149,Myanmar,2026,1211.0529999999999,2139.0,-43.3822814399252,war
29,60,Iraq,2026,107.3227,193.0,-44.39238341968912,high
34,150,Thailand,2026,42.7419,77.0,-44.49103896103896,medium
