,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
26,130,Qatar,2026,130.1226,6.0,2068.71,conflict
28,17,Mexico,2026,114.0841,33.0,245.70939393939395,conflict
30,9,Brazil,2026,60.6417,18.0,236.89833333333334,conflict
17,69,Cameroon,2026,432.2337,241.0,79.35008298755186,conflict
24,209,Indonesia,2026,201.2073,119.0,69.08176470588235,conflict
33,67,Algeria,2026,52.327,35.0,49.505714285714284,conflict
31,4,Venezuela,2026,53.3553,36.0,48.20916666666666,conflict
20,162,Mozambique,2026,319.5106,249.0,28.31751004016065,conflict
36,11,Ecuador,2026,27.9774,23.0,21.64086956521739,conflict
16,133,Afghanistan,2026,436.5935,374.0,16.736229946524066,conflict
18,28,Colombia,2026,415.2953,364.0,14.092115384615383,conflict
32,237,Kenya,2026,53.0112,47.0,12.789787234042556,conflict
15,223,India,2026,585.9887,554.0,5.774133574007219,conflict
10,50,Mali,2026,1214.7262,1290.0,-5.835178294573638,conflict
27,145,Philippines,2026,123.6899,135.0,-8.377851851851856,conflict
8,124,Yemen,2026,1270.3514,1430.0,-11.16423776223776,conflict
5,57,Ethiopia,2026,1835.9027999999998,2394.0,-23.312330827067676,conflict
21,246,South Sudan,2026,238.3255,319.0,-25.2898119122257,conflict
19,24,Haiti,2026,403.3834,583.0,-30.809022298456263,conflict
14,78,Niger,2026,681.9069,1001.0,-31.877432567432574,conflict
25,70,Central African Republic,2026,149.0016,226.0,-34.07008849557522,conflict
3,136,Pakistan,2026,1986.2099,3149.0,-36.92569387107018,conflict
37,214,Chad,2026,27.0168,43.0,-37.17023255813954,conflict
11,149,Myanmar,2026,1211.0529999999999,2139.0,-43.3822814399252,conflict
29,60,Iraq,2026,107.3227,193.0,-44.39238341968912,conflict
34,150,Thailand,2026,42.7419,77.0,-44.49103896103896,conflict
4,79,Nigeria,2026,1891.3906,3706.0,-48.96409606044252,conflict
2,245,Sudan,2026,4262.011,8358.0,-49.00680784876764,conflict
6,120,Somalia,2026,1692.2508,3584.0,-52.783180803571426,conflict
1,218,Israel,2026,7710.1664,16777.0,-54.04323538177267,conflict
9,47,Burkina Faso,2026,1228.0348,2829.0,-56.591205372923305,conflict
7,220,Syria,2026,1447.2008,3432.0,-57.832144522144525,conflict
0,117,Ukraine,2026,28317.1568,69676.0,-59.35880819794478,conflict
12,167,"Congo, DRC",2026,849.98,3983.0,-78.65980416771278,conflict
35,74,Benin,2026,29.4812,168.0,-82.45166666666667,conflict
22,128,Iran,2026,226.29240000000001,1307.0,-82.68612088752869,conflict
23,94,Lebanon,2026,206.458,1506.0,-86.29096945551127,conflict
13,65,Russia,2026,718.1469,7279.0,-90.13398955900536,conflict
