,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
26,130,Qatar,2026,130.1226,6.0,2068.71,high
28,17,Mexico,2026,114.0841,33.0,245.70939393939395,high
17,69,Cameroon,2026,432.2337,241.0,79.35008298755186,high
24,209,Indonesia,2026,201.2073,119.0,69.08176470588235,high
20,162,Mozambique,2026,319.5106,249.0,28.31751004016065,high
16,133,Afghanistan,2026,436.5935,374.0,16.736229946524066,high
18,28,Colombia,2026,415.2953,364.0,14.092115384615383,high
15,223,India,2026,585.9887,554.0,5.774133574007219,high
27,145,Philippines,2026,123.6899,135.0,-8.377851851851856,high
21,246,South Sudan,2026,238.3255,319.0,-25.2898119122257,high
19,24,Haiti,2026,403.3834,583.0,-30.809022298456263,high
14,78,Niger,2026,681.9069,1001.0,-31.877432567432574,high
25,70,Central African Republic,2026,149.0016,226.0,-34.07008849557522,high
29,60,Iraq,2026,107.3227,193.0,-44.39238341968912,high
12,167,"Congo, DRC",2026,849.98,3983.0,-78.65980416771278,high
22,128,Iran,2026,226.29240000000001,1307.0,-82.68612088752869,high
23,94,Lebanon,2026,206.458,1506.0,-86.29096945551127,high
13,65,Russia,2026,718.1469,7279.0,-90.13398955900536,high
