,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
38,213,Libya,2026,18.3769,12.0,53.140833333333326,no-conflict
57,25,Jamaica,2026,1.3820999999999999,1.0,38.20999999999999,no-conflict
44,126,Azerbaijan,2026,4.2086,4.0,5.214999999999992,no-conflict
43,131,Saudi Arabia,2026,4.3566,5.0,-12.867999999999997,no-conflict
52,222,Egypt,2026,2.5596,3.0,-14.679999999999996,no-conflict
46,156,Rwanda,2026,4.0867,5.0,-18.26599999999999,no-conflict
91,41,Cote d'Ivoire,2026,0.8079,1.0,-19.210000000000004,no-conflict
40,81,Togo,2026,9.1462,14.0,-34.669999999999995,no-conflict
41,147,Cambodia,2026,7.0404,11.0,-35.99636363636364,no-conflict
61,42,Ghana,2026,1.1787,2.0,-41.065,no-conflict
55,234,United States,2026,1.4587999999999999,3.0,-51.373333333333335,no-conflict
48,137,Tajikistan,2026,3.0641,7.0,-56.227142857142866,no-conflict
88,164,Swaziland,2026,0.8246,2.0,-58.77,no-conflict
51,23,Dominican Republic,2026,2.6049,7.0,-62.787142857142854,no-conflict
50,235,Uganda,2026,2.6139,8.0,-67.32625,no-conflict
49,243,Morocco,2026,3.0216,10.0,-69.784,no-conflict
54,179,Papua New Guinea,2026,1.6644999999999999,6.0,-72.25833333333333,no-conflict
39,165,Angola,2026,9.2503,34.0,-72.79323529411765,no-conflict
56,138,Bangladesh,2026,1.4094,6.0,-76.51,no-conflict
42,96,Turkey,2026,6.4901,0.0,,no-conflict
45,155,Burundi,2026,4.2036999999999995,0.0,,no-conflict
47,244,Mauritania,2026,3.1496,0.0,,no-conflict
53,13,Peru,2026,1.7563,0.0,,no-conflict
58,242,Tanzania,2026,1.2845,0.0,,no-conflict
59,87,Malta,2026,1.2034,0.0,,no-conflict
60,89,Bulgaria,2026,1.1824,0.0,,no-conflict
62,85,Italy,2026,1.1583,0.0,,no-conflict
63,90,Cyprus,2026,1.1536,0.0,,no-conflict
64,76,Equatorial Guinea,2026,1.0566,0.0,,no-conflict
65,125,Armenia,2026,1.0202,0.0,,no-conflict
66,29,Costa Rica,2026,0.9744,0.0,,no-conflict
67,30,Cuba,2026,0.9668,0.0,,no-conflict
68,64,Norway,2026,0.9564,0.0,,no-conflict
69,10,Chile,2026,0.9537,0.0,,no-conflict
71,14,Uruguay,2026,0.9503,0.0,,no-conflict
70,38,Ireland,2026,0.9503,0.0,,no-conflict
72,45,Portugal,2026,0.9499,0.0,,no-conflict
73,80,Sao Tome and Principe,2026,0.9451,0.0,,no-conflict
74,19,Dominica,2026,0.9417,0.0,,no-conflict
75,2,Suriname,2026,0.9413,0.0,,no-conflict
76,77,Kiribati,2026,0.9405,0.0,,no-conflict
77,40,Cape Verde,2026,0.9405,0.0,,no-conflict
78,6,Tonga,2026,0.9398,0.0,,no-conflict
79,5,Samoa,2026,0.9398,0.0,,no-conflict
80,22,St. Vincent and the Grenadines,2026,0.9392,0.0,,no-conflict
81,21,St. Lucia,2026,0.9392,0.0,,no-conflict
82,37,Iceland,2026,0.9384,0.0,,no-conflict
83,20,Grenada,2026,0.9377,0.0,,no-conflict
84,26,Bahamas,2026,0.937,0.0,,no-conflict
85,18,Barbados,2026,0.9369000000000001,0.0,,no-conflict
86,62,Jordan,2026,0.8533,0.0,,no-conflict
87,8,Bolivia,2026,0.8255,0.0,,no-conflict
89,172,Madagascar,2026,0.8243,0.0,,no-conflict
90,58,Mongolia,2026,0.8222,0.0,,no-conflict
92,7,Argentina,2026,0.7381,0.0,,no-conflict
93,101,Poland,2026,0.6884,0.0,,no-conflict
94,3,Trinidad and Tobago,2026,0.6778,0.0,,no-conflict
95,199,China,2026,0.6592,0.0,,no-conflict
