,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
10,50,Mali,2026,1214.7262,1290.0,-5.835178294573638,war
8,124,Yemen,2026,1270.3514,1430.0,-11.16423776223776,war
5,57,Ethiopia,2026,1835.9027999999998,2394.0,-23.312330827067676,war
3,136,Pakistan,2026,1986.2099,3149.0,-36.92569387107018,war
11,149,Myanmar,2026,1211.0529999999999,2139.0,-43.3822814399252,war
4,79,Nigeria,2026,1891.3906,3706.0,-48.96409606044252,war
2,245,Sudan,2026,4262.011,8358.0,-49.00680784876764,war
6,120,Somalia,2026,1692.2508,3584.0,-52.783180803571426,war
1,218,Israel,2026,7710.1664,16777.0,-54.04323538177267,war
9,47,Burkina Faso,2026,1228.0348,2829.0,-56.591205372923305,war
7,220,Syria,2026,1447.2008,3432.0,-57.832144522144525,war
0,117,Ukraine,2026,28317.1568,69676.0,-59.35880819794478,war
