,country_id,country,year,main_mean
413,117,Ukraine,2026,28317.1568
705,218,Israel,2026,7710.1664
757,245,Sudan,2026,4262.011
489,136,Pakistan,2026,1986.2099
277,79,Nigeria,2026,1891.3906
213,57,Ethiopia,2026,1835.9027999999998
425,120,Somalia,2026,1692.2508
709,220,Syria,2026,1447.2008
441,124,Yemen,2026,1270.3514
177,47,Burkina Faso,2026,1228.0348
189,50,Mali,2026,1214.7262
537,149,Myanmar,2026,1211.0529999999999
609,167,"Congo, DRC",2026,849.98
237,65,Russia,2026,718.1469
273,78,Niger,2026,681.9069
717,223,India,2026,585.9887
477,133,Afghanistan,2026,436.5935
249,69,Cameroon,2026,432.2337
105,28,Colombia,2026,415.2953
89,24,Haiti,2026,403.3834
589,162,Mozambique,2026,319.5106
761,246,South Sudan,2026,238.3255
457,128,Iran,2026,226.29240000000001
329,94,Lebanon,2026,206.458
693,209,Indonesia,2026,201.2073
253,70,Central African Republic,2026,149.0016
465,130,Qatar,2026,130.1226
521,145,Philippines,2026,123.6899
61,17,Mexico,2026,114.0841
221,60,Iraq,2026,107.3227
33,9,Brazil,2026,60.6417
13,4,Venezuela,2026,53.3553
741,237,Kenya,2026,53.0112
245,67,Algeria,2026,52.327
541,150,Thailand,2026,42.7419
261,74,Benin,2026,29.4812
41,11,Ecuador,2026,27.9774
701,214,Chad,2026,27.0168
697,213,Libya,2026,18.3769
601,165,Angola,2026,9.2503
285,81,Togo,2026,9.1462
529,147,Cambodia,2026,7.0404
333,96,Turkey,2026,6.4901
469,131,Saudi Arabia,2026,4.3566
449,126,Azerbaijan,2026,4.2086
561,155,Burundi,2026,4.2036999999999995
565,156,Rwanda,2026,4.0867
753,244,Mauritania,2026,3.1496
493,137,Tajikistan,2026,3.0641
749,243,Morocco,2026,3.0216
737,235,Uganda,2026,2.6139
85,23,Dominican Republic,2026,2.6049
713,222,Egypt,2026,2.5596
49,13,Peru,2026,1.7563
653,179,Papua New Guinea,2026,1.6644999999999999
733,234,United States,2026,1.4587999999999999
497,138,Bangladesh,2026,1.4094
93,25,Jamaica,2026,1.3820999999999999
745,242,Tanzania,2026,1.2845
309,87,Malta,2026,1.2034
313,89,Bulgaria,2026,1.1824
161,42,Ghana,2026,1.1787
301,85,Italy,2026,1.1583
317,90,Cyprus,2026,1.1536
265,76,Equatorial Guinea,2026,1.0566
445,125,Armenia,2026,1.0202
109,29,Costa Rica,2026,0.9744
113,30,Cuba,2026,0.9668
233,64,Norway,2026,0.9564
37,10,Chile,2026,0.9537
145,38,Ireland,2026,0.9503
53,14,Uruguay,2026,0.9503
169,45,Portugal,2026,0.9499
281,80,Sao Tome and Principe,2026,0.9451
