,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
48,41,Cote d'Ivoire,2026,6.4759,1.0,547.59,no-conflict
44,42,Ghana,2026,9.741299999999999,2.0,387.06499999999994,no-conflict
11,133,Afghanistan,2026,1160.3125,374.0,210.24398395721926,conflict
36,213,Libya,2026,25.1033,12.0,109.19416666666667,conflict
42,179,Papua New Guinea,2026,10.8665,6.0,81.10833333333333,no-conflict
40,235,Uganda,2026,14.1719,8.0,77.14875,no-conflict
34,9,Brazil,2026,30.950699999999998,18.0,71.94833333333332,conflict
43,130,Qatar,2026,10.2906,6.0,71.50999999999999,no-conflict
2,136,Pakistan,2026,5371.6643,3149.0,70.58317878691649,conflict
51,222,Egypt,2026,5.1024,3.0,70.08000000000001,no-conflict
27,4,Venezuela,2026,59.7928,36.0,66.09111111111112,conflict
29,17,Mexico,2026,50.2929,33.0,52.402727272727276,conflict
17,69,Cameroon,2026,357.0236,241.0,48.142572614107884,conflict
50,126,Azerbaijan,2026,5.8795,4.0,46.987500000000004,no-conflict
23,209,Indonesia,2026,158.8379,119.0,33.4772268907563,conflict
49,131,Saudi Arabia,2026,6.2875,5.0,25.749999999999996,no-conflict
54,234,United States,2026,3.7288,3.0,24.293333333333337,no-conflict
38,81,Togo,2026,16.8722,14.0,20.51571428571428,no-conflict
35,11,Ecuador,2026,25.3512,23.0,10.222608695652168,conflict
10,50,Mali,2026,1379.2665,1290.0,6.919883720930228,conflict
58,164,Swaziland,2026,2.094,2.0,4.699999999999993,no-conflict
9,124,Yemen,2026,1492.5751,1430.0,4.375881118881121,conflict
20,162,Mozambique,2026,243.9985,249.0,-2.0086345381526076,conflict
45,243,Morocco,2026,9.5673,10.0,-4.327000000000005,no-conflict
6,57,Ethiopia,2026,2250.3181,2394.0,-6.001750208855474,conflict
4,79,Nigeria,2026,3454.8948,3706.0,-6.775639503507824,conflict
30,237,Kenya,2026,43.562,47.0,-7.314893617021282,conflict
32,214,Chad,2026,37.0738,43.0,-13.781860465116283,conflict
15,223,India,2026,466.4931,554.0,-15.79546931407942,conflict
5,120,Somalia,2026,2993.8582,3584.0,-16.466010044642854,conflict
25,145,Philippines,2026,112.656,135.0,-16.55111111111111,conflict
74,25,Jamaica,2026,0.8231,1.0,-17.689999999999994,no-conflict
19,28,Colombia,2026,266.6041,364.0,-26.757115384615382,conflict
52,138,Bangladesh,2026,4.3772,6.0,-27.046666666666663,no-conflict
1,245,Sudan,2026,6008.2728,8358.0,-28.1135104091888,conflict
8,149,Myanmar,2026,1508.6431,2139.0,-29.46970079476391,conflict
56,156,Rwanda,2026,3.4543,5.0,-30.914,no-conflict
47,147,Cambodia,2026,6.8456,11.0,-37.767272727272726,no-conflict
53,23,Dominican Republic,2026,4.3546,7.0,-37.791428571428575,no-conflict
7,47,Burkina Faso,2026,1640.3259,2829.0,-42.01746553552492,conflict
26,60,Iraq,2026,110.7407,193.0,-42.62139896373057,conflict
37,67,Algeria,2026,19.3932,35.0,-44.590857142857146,no-conflict
55,137,Tajikistan,2026,3.6757,7.0,-47.49,no-conflict
22,246,South Sudan,2026,161.389,319.0,-49.40783699059561,conflict
18,24,Haiti,2026,286.0994,583.0,-50.926346483704975,conflict
33,150,Thailand,2026,34.2965,77.0,-55.459090909090904,conflict
16,78,Niger,2026,388.58050000000003,1001.0,-61.18076923076923,conflict
41,165,Angola,2026,11.0026,34.0,-67.63941176470588,no-conflict
13,220,Syria,2026,920.9381,3432.0,-73.16613927738929,conflict
28,70,Central African Republic,2026,58.9732,226.0,-73.90566371681416,conflict
3,218,Israel,2026,4206.4859,16777.0,-74.92706741372118,conflict
31,74,Benin,2026,41.9158,168.0,-75.05011904761906,conflict
12,167,"Congo, DRC",2026,984.8727,3983.0,-75.27309314586995,conflict
0,117,Ukraine,2026,10916.0494,69676.0,-84.33312848039498,conflict
21,94,Lebanon,2026,205.7225,1506.0,-86.33980743691897,conflict
24,128,Iran,2026,117.0121,1307.0,-91.04727620504974,conflict
14,65,Russia,2026,579.736,7279.0,-92.03549938178321,conflict
39,96,Turkey,2026,15.369700000000002,0.0,,no-conflict
46,155,Burundi,2026,7.2728,0.0,,no-conflict
57,13,Peru,2026,3.4443,0.0,,no-conflict
59,244,Mauritania,2026,1.8948,0.0,,no-conflict
60,73,Tunisia,2026,1.6391,0.0,,no-conflict
61,242,Tanzania,2026,1.5169000000000001,0.0,,no-conflict
62,16,Guatemala,2026,1.4204,0.0,,no-conflict
63,172,Madagascar,2026,1.353,0.0,,no-conflict
64,125,Armenia,2026,1.3306,0.0,,no-conflict
65,199,China,2026,1.2239,0.0,,no-conflict
66,7,Argentina,2026,1.1145,0.0,,no-conflict
67,8,Bolivia,2026,1.0511,0.0,,no-conflict
68,177,Australia,2026,0.939,0.0,,no-conflict
69,48,Guinea,2026,0.9133,0.0,,no-conflict
70,62,Jordan,2026,0.8949,0.0,,no-conflict
71,157,Zambia,2026,0.8562,0.0,,no-conflict
72,134,Kyrgyzstan,2026,0.8371,0.0,,no-conflict
73,56,Eritrea,2026,0.8337,0.0,,no-conflict
75,119,Oman,2026,0.7746,0.0,,no-conflict
76,158,Zimbabwe,2026,0.7514000000000001,0.0,,no-conflict
77,166,Congo,2026,0.6897,0.0,,no-conflict
78,55,Djibouti,2026,0.6869,0.0,,no-conflict
79,163,South Africa,2026,0.6553,0.0,,no-conflict
80,1,Guyana,2026,0.6156,0.0,,no-conflict
81,148,Laos,2026,0.6117,0.0,,no-conflict
82,143,North Korea,2026,0.5995,0.0,,no-conflict
83,99,Denmark,2026,0.5684,0.0,,no-conflict
84,151,Vietnam,2026,0.5434,0.0,,no-conflict
85,89,Bulgaria,2026,0.5294,0.0,,no-conflict
86,52,Senegal,2026,0.512,0.0,,no-conflict
87,101,Poland,2026,0.4846,0.0,,no-conflict
88,161,Malawi,2026,0.4464,0.0,,no-conflict
