,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
17,69,Cameroon,2026,357.0236,241.0,48.142572614107884,high
23,209,Indonesia,2026,158.8379,119.0,33.4772268907563,high
20,162,Mozambique,2026,243.9985,249.0,-2.0086345381526076,high
15,223,India,2026,466.4931,554.0,-15.79546931407942,high
25,145,Philippines,2026,112.656,135.0,-16.55111111111111,high
19,28,Colombia,2026,266.6041,364.0,-26.757115384615382,high
26,60,Iraq,2026,110.7407,193.0,-42.62139896373057,high
22,246,South Sudan,2026,161.389,319.0,-49.40783699059561,high
18,24,Haiti,2026,286.0994,583.0,-50.926346483704975,high
16,78,Niger,2026,388.58050000000003,1001.0,-61.18076923076923,high
13,220,Syria,2026,920.9381,3432.0,-73.16613927738929,high
12,167,"Congo, DRC",2026,984.8727,3983.0,-75.27309314586995,high
21,94,Lebanon,2026,205.7225,1506.0,-86.33980743691897,high
24,128,Iran,2026,117.0121,1307.0,-91.04727620504974,high
14,65,Russia,2026,579.736,7279.0,-92.03549938178321,high
