,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
36,213,Libya,2026,25.1033,12.0,109.19416666666667,medium
34,9,Brazil,2026,30.950699999999998,18.0,71.94833333333332,medium
27,4,Venezuela,2026,59.7928,36.0,66.09111111111112,medium
29,17,Mexico,2026,50.2929,33.0,52.402727272727276,medium
35,11,Ecuador,2026,25.3512,23.0,10.222608695652168,medium
30,237,Kenya,2026,43.562,47.0,-7.314893617021282,medium
32,214,Chad,2026,37.0738,43.0,-13.781860465116283,medium
33,150,Thailand,2026,34.2965,77.0,-55.459090909090904,medium
28,70,Central African Republic,2026,58.9732,226.0,-73.90566371681416,medium
31,74,Benin,2026,41.9158,168.0,-75.05011904761906,medium
