,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
11,133,Afghanistan,2026,1160.3125,374.0,210.24398395721926,war
2,136,Pakistan,2026,5371.6643,3149.0,70.58317878691649,war
10,50,Mali,2026,1379.2665,1290.0,6.919883720930228,war
9,124,Yemen,2026,1492.5751,1430.0,4.375881118881121,war
6,57,Ethiopia,2026,2250.3181,2394.0,-6.001750208855474,war
4,79,Nigeria,2026,3454.8948,3706.0,-6.775639503507824,war
5,120,Somalia,2026,2993.8582,3584.0,-16.466010044642854,war
1,245,Sudan,2026,6008.2728,8358.0,-28.1135104091888,war
8,149,Myanmar,2026,1508.6431,2139.0,-29.46970079476391,war
7,47,Burkina Faso,2026,1640.3259,2829.0,-42.01746553552492,war
3,218,Israel,2026,4206.4859,16777.0,-74.92706741372118,war
0,117,Ukraine,2026,10916.0494,69676.0,-84.33312848039498,war
