,country_id,country,year,main_mean
413,117,Ukraine,2026,10916.0494
757,245,Sudan,2026,6008.2728
489,136,Pakistan,2026,5371.6643
705,218,Israel,2026,4206.4859
277,79,Nigeria,2026,3454.8948
425,120,Somalia,2026,2993.8582
213,57,Ethiopia,2026,2250.3181
177,47,Burkina Faso,2026,1640.3259
537,149,Myanmar,2026,1508.6431
441,124,Yemen,2026,1492.5751
189,50,Mali,2026,1379.2665
477,133,Afghanistan,2026,1160.3125
609,167,"Congo, DRC",2026,984.8727
709,220,Syria,2026,920.9381
237,65,Russia,2026,579.736
717,223,India,2026,466.4931
273,78,Niger,2026,388.58050000000003
249,69,Cameroon,2026,357.0236
89,24,Haiti,2026,286.0994
105,28,Colombia,2026,266.6041
589,162,Mozambique,2026,243.9985
329,94,Lebanon,2026,205.7225
761,246,South Sudan,2026,161.389
693,209,Indonesia,2026,158.8379
457,128,Iran,2026,117.0121
521,145,Philippines,2026,112.656
221,60,Iraq,2026,110.7407
13,4,Venezuela,2026,59.7928
253,70,Central African Republic,2026,58.9732
61,17,Mexico,2026,50.2929
741,237,Kenya,2026,43.562
261,74,Benin,2026,41.9158
701,214,Chad,2026,37.0738
541,150,Thailand,2026,34.2965
33,9,Brazil,2026,30.950699999999998
41,11,Ecuador,2026,25.3512
697,213,Libya,2026,25.1033
245,67,Algeria,2026,19.3932
285,81,Togo,2026,16.8722
333,96,Turkey,2026,15.369700000000002
737,235,Uganda,2026,14.1719
601,165,Angola,2026,11.0026
653,179,Papua New Guinea,2026,10.8665
465,130,Qatar,2026,10.2906
161,42,Ghana,2026,9.741299999999999
749,243,Morocco,2026,9.5673
561,155,Burundi,2026,7.2728
529,147,Cambodia,2026,6.8456
157,41,Cote d'Ivoire,2026,6.4759
469,131,Saudi Arabia,2026,6.2875
449,126,Azerbaijan,2026,5.8795
713,222,Egypt,2026,5.1024
497,138,Bangladesh,2026,4.3772
85,23,Dominican Republic,2026,4.3546
733,234,United States,2026,3.7288
493,137,Tajikistan,2026,3.6757
565,156,Rwanda,2026,3.4543
49,13,Peru,2026,3.4443
597,164,Swaziland,2026,2.094
753,244,Mauritania,2026,1.8948
257,73,Tunisia,2026,1.6391
745,242,Tanzania,2026,1.5169000000000001
57,16,Guatemala,2026,1.4204
629,172,Madagascar,2026,1.353
445,125,Armenia,2026,1.3306
681,199,China,2026,1.2239
25,7,Argentina,2026,1.1145
29,8,Bolivia,2026,1.0511
645,177,Australia,2026,0.939
181,48,Guinea,2026,0.9133
225,62,Jordan,2026,0.8949
569,157,Zambia,2026,0.8562
481,134,Kyrgyzstan,2026,0.8371
209,56,Eritrea,2026,0.8337
93,25,Jamaica,2026,0.8231
421,119,Oman,2026,0.7746
573,158,Zimbabwe,2026,0.7514000000000001
605,166,Congo,2026,0.6897
205,55,Djibouti,2026,0.6869
593,163,South Africa,2026,0.6553
1,1,Guyana,2026,0.6156
533,148,Laos,2026,0.6117
513,143,North Korea,2026,0.5995
345,99,Denmark,2026,0.5684
545,151,Vietnam,2026,0.5434
313,89,Bulgaria,2026,0.5294
193,52,Senegal,2026,0.512
353,101,Poland,2026,0.4846
585,161,Malawi,2026,0.4464
349,100,Hungary,2026,0.4396
385,110,Belarus,2026,0.4263
265,76,Equatorial Guinea,2026,0.4225
437,123,Uzbekistan,2026,0.4193
685,205,Malaysia,2026,0.3925
461,129,Kuwait,2026,0.386
121,32,Honduras,2026,0.3841
433,122,Turkmenistan,2026,0.3549
473,132,United Arab Emirates,2026,0.3514
125,33,Nicaragua,2026,0.3502
453,127,Bahrain,2026,0.322
725,232,Kosovo,2026,0.3024
689,206,Singapore,2026,0.3003
9,3,Trinidad and Tobago,2026,0.294
45,12,Paraguay,2026,0.2937
117,31,El Salvador,2026,0.2848
501,139,Bhutan,2026,0.2624
217,58,Mongolia,2026,0.2547
577,159,Comoros,2026,0.2442
617,169,Gabon,2026,0.23270000000000002
321,92,Georgia,2026,0.23170000000000002
113,30,Cuba,2026,0.2262
101,27,Belize,2026,0.2195
229,63,Kazakhstan,2026,0.2172
485,135,Nepal,2026,0.2153
409,116,Romania,2026,0.2095
5,2,Suriname,2026,0.1977
369,105,France,2026,0.158
185,49,Guinea-Bissau,2026,0.1511
649,178,Nauru,2026,0.147
673,184,Germany,2026,0.1456
337,97,Austria,2026,0.1421
665,182,Vanuatu,2026,0.1364
109,29,Costa Rica,2026,0.1344
149,39,United Kingdom,2026,0.12359999999999999
677,198,Taiwan,2026,0.1189
69,19,Dominica,2026,0.118
669,183,Canada,2026,0.11599999999999999
53,14,Uruguay,2026,0.10550000000000001
393,112,Finland,2026,0.1055
289,82,Albania,2026,0.0965
429,121,Sri Lanka,2026,0.096
97,26,Bahamas,2026,0.0959
233,64,Norway,2026,0.09559999999999999
325,93,Greece,2026,0.0949
201,54,The Gambia,2026,0.0939
37,10,Chile,2026,0.0935
365,104,Belgium,2026,0.0871
729,233,Serbia,2026,0.0858
173,46,Spain,2026,0.08499999999999999
613,168,Fiji,2026,0.0839
129,34,Panama,2026,0.0809
621,170,Namibia,2026,0.08070000000000001
269,77,Kiribati,2026,0.07970000000000001
581,160,Lesotho,2026,0.0778
305,86,Macedonia,2026,0.0762
73,20,Grenada,2026,0.0748
133,35,Antigua and Barbuda,2026,0.0733
557,154,Botswana,2026,0.0713
661,181,Tuvalu,2026,0.0698
137,36,St. Kitts and Nevis,2026,0.0692
297,84,Croatia,2026,0.0688
633,173,Mauritius,2026,0.0639
721,231,Montenegro,2026,0.0637
241,66,Sweden,2026,0.0634
517,144,Palau,2026,0.0607
77,21,St. Lucia,2026,0.0605
505,140,Brunei,2026,0.060200000000000004
81,22,St. Vincent and the Grenadines,2026,0.058499999999999996
21,6,Tonga,2026,0.0579
405,115,Moldova,2026,0.057
357,102,Slovakia,2026,0.056999999999999995
165,43,Liberia,2026,0.055
525,146,South Korea,2026,0.0542
309,87,Malta,2026,0.0524
17,5,Samoa,2026,0.052199999999999996
553,153,Micronesia,2026,0.0516
657,180,Solomon Is.,2026,0.0508
549,152,Marshall Is.,2026,0.0481
197,53,Sierra Leone,2026,0.0429
509,142,Japan,2026,0.0424
293,83,Bosnia and Herzegovina,2026,0.0412
145,38,Ireland,2026,0.0406
417,118,Maldives,2026,0.0393
301,85,Italy,2026,0.038400000000000004
641,176,Timor Leste,2026,0.036899999999999995
153,40,Cape Verde,2026,0.0341
389,111,Estonia,2026,0.033100000000000004
397,113,Latvia,2026,0.0319
637,174,Seychelles,2026,0.0293
281,80,Sao Tome and Principe,2026,0.0293
341,98,Czech Republic,2026,0.0264
169,45,Portugal,2026,0.025400000000000002
65,18,Barbados,2026,0.0249
377,108,Netherlands,2026,0.022600000000000002
401,114,Lithuania,2026,0.0206
141,37,Iceland,2026,0.0165
361,103,Slovenia,2026,0.015099999999999999
373,107,Luxembourg,2026,0.013
381,109,Switzerland,2026,0.013
317,90,Cyprus,2026,0.0097
625,171,New Zealand,2026,0.0095
