,country_id,country,year,main_mean,actuals_last_12months
0,117,Ukraine,2026,10916.0494,69676.0
1,245,Sudan,2026,6008.2728,8358.0
2,136,Pakistan,2026,5371.6643,3149.0
3,218,Israel,2026,4206.4859,16777.0
4,79,Nigeria,2026,3454.8948,3706.0
5,120,Somalia,2026,2993.8582,3584.0
6,57,Ethiopia,2026,2250.3181,2394.0
7,47,Burkina Faso,2026,1640.3259,2829.0
8,149,Myanmar,2026,1508.6431,2139.0
9,124,Yemen,2026,1492.5751,1430.0
10,50,Mali,2026,1379.2665,1290.0
11,133,Afghanistan,2026,1160.3125,374.0
12,167,"Congo, DRC",2026,984.8727,3983.0
13,220,Syria,2026,920.9381,3432.0
14,65,Russia,2026,579.736,7279.0
15,223,India,2026,466.4931,554.0
16,78,Niger,2026,388.58050000000003,1001.0
17,69,Cameroon,2026,357.0236,241.0
18,24,Haiti,2026,286.0994,583.0
19,28,Colombia,2026,266.6041,364.0
20,162,Mozambique,2026,243.9985,249.0
21,94,Lebanon,2026,205.7225,1506.0
22,246,South Sudan,2026,161.389,319.0
23,209,Indonesia,2026,158.8379,119.0
24,128,Iran,2026,117.0121,1307.0
25,145,Philippines,2026,112.656,135.0
26,60,Iraq,2026,110.7407,193.0
27,4,Venezuela,2026,59.7928,36.0
28,70,Central African Republic,2026,58.9732,226.0
29,17,Mexico,2026,50.2929,33.0
30,237,Kenya,2026,43.562,47.0
31,74,Benin,2026,41.9158,168.0
32,214,Chad,2026,37.0738,43.0
33,150,Thailand,2026,34.2965,77.0
34,67,Algeria,2026,19.3932,35.0
35,165,Angola,2026,11.0026,34.0
