,country_id,country,year,main_mean,actuals_last_12months
0,9,Brazil,2026,30.950699999999998,18.0
1,11,Ecuador,2026,25.3512,23.0
2,213,Libya,2026,25.1033,12.0
3,81,Togo,2026,16.8722,14.0
4,96,Turkey,2026,15.369700000000002,0.0
5,235,Uganda,2026,14.1719,8.0
6,179,Papua New Guinea,2026,10.8665,6.0
7,130,Qatar,2026,10.2906,6.0
8,42,Ghana,2026,9.741299999999999,2.0
9,243,Morocco,2026,9.5673,10.0
10,155,Burundi,2026,7.2728,0.0
11,147,Cambodia,2026,6.8456,11.0
12,41,Cote d'Ivoire,2026,6.4759,1.0
13,131,Saudi Arabia,2026,6.2875,5.0
14,126,Azerbaijan,2026,5.8795,4.0
15,222,Egypt,2026,5.1024,3.0
16,138,Bangladesh,2026,4.3772,6.0
17,23,Dominican Republic,2026,4.3546,7.0
18,234,United States,2026,3.7288,3.0
19,137,Tajikistan,2026,3.6757,7.0
20,156,Rwanda,2026,3.4543,5.0
21,13,Peru,2026,3.4443,0.0
22,164,Swaziland,2026,2.094,2.0
23,244,Mauritania,2026,1.8948,0.0
24,73,Tunisia,2026,1.6391,0.0
25,242,Tanzania,2026,1.5169000000000001,0.0
26,16,Guatemala,2026,1.4204,0.0
27,172,Madagascar,2026,1.353,0.0
28,125,Armenia,2026,1.3306,0.0
29,199,China,2026,1.2239,0.0
30,7,Argentina,2026,1.1145,0.0
31,8,Bolivia,2026,1.0511,0.0
32,177,Australia,2026,0.939,0.0
33,48,Guinea,2026,0.9133,0.0
34,62,Jordan,2026,0.8949,0.0
35,157,Zambia,2026,0.8562,0.0
36,134,Kyrgyzstan,2026,0.8371,0.0
37,56,Eritrea,2026,0.8337,0.0
38,25,Jamaica,2026,0.8231,1.0
39,119,Oman,2026,0.7746,0.0
40,158,Zimbabwe,2026,0.7514000000000001,0.0
41,166,Congo,2026,0.6897,0.0
42,55,Djibouti,2026,0.6869,0.0
43,163,South Africa,2026,0.6553,0.0
44,1,Guyana,2026,0.6156,0.0
45,148,Laos,2026,0.6117,0.0
46,143,North Korea,2026,0.5995,0.0
47,99,Denmark,2026,0.5684,0.0
48,151,Vietnam,2026,0.5434,0.0
49,89,Bulgaria,2026,0.5294,0.0
50,52,Senegal,2026,0.512,0.0
51,101,Poland,2026,0.4846,0.0
52,161,Malawi,2026,0.4464,0.0
53,100,Hungary,2026,0.4396,0.0
54,110,Belarus,2026,0.4263,0.0
55,76,Equatorial Guinea,2026,0.4225,0.0
56,123,Uzbekistan,2026,0.4193,0.0
57,205,Malaysia,2026,0.3925,0.0
58,129,Kuwait,2026,0.386,0.0
59,32,Honduras,2026,0.3841,0.0
60,122,Turkmenistan,2026,0.3549,0.0
61,132,United Arab Emirates,2026,0.3514,0.0
62,33,Nicaragua,2026,0.3502,0.0
63,127,Bahrain,2026,0.322,0.0
64,232,Kosovo,2026,0.3024,0.0
65,206,Singapore,2026,0.3003,0.0
66,3,Trinidad and Tobago,2026,0.294,0.0
67,12,Paraguay,2026,0.2937,0.0
68,31,El Salvador,2026,0.2848,0.0
69,139,Bhutan,2026,0.2624,0.0
70,58,Mongolia,2026,0.2547,0.0
