,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
46,222,Egypt,2025,6.8239,1.0,582.39,low
2,220,Syria,2025,10920.1474,2035.0,436.6165798525798,war
52,244,Mauritania,2025,5.0928,1.0,409.28000000000003,low
44,213,Libya,2025,8.0383,2.0,301.91499999999996,low
39,62,Jordan,2025,11.3971,3.0,279.90333333333336,low
6,136,Pakistan,2025,4207.936,1358.0,209.8627393225331,war
18,133,Afghanistan,2025,550.8608,180.0,206.03377777777777,high
4,120,Somalia,2025,5355.6657000000005,1865.0,187.16706166219842,war
62,199,China,2025,2.6469,1.0,164.69,low
53,198,Taiwan,2025,5.0171,2.0,150.85500000000002,low
13,223,India,2025,926.9484,381.0,143.29354330708662,high
27,9,Brazil,2025,59.7261,25.0,138.9044,medium
28,17,Mexico,2025,58.0416,25.0,132.1664,medium
48,67,Algeria,2025,6.6077,3.0,120.25666666666667,low
17,60,Iraq,2025,671.0153,314.0,113.69914012738856,high
67,41,Cote d'Ivoire,2025,1.931,1.0,93.10000000000001,low
10,50,Mali,2025,2053.2342,1094.0,87.68137111517366,war
3,79,Nigeria,2025,5770.2880000000005,3414.0,69.0183948447569,war
11,167,"Congo, DRC",2025,1264.0158000000001,783.0,61.43241379310347,war
26,138,Bangladesh,2025,62.1363,39.0,59.32384615384615,medium
45,131,Saudi Arabia,2025,7.661,5.0,53.21999999999999,low
22,28,Colombia,2025,230.8241,152.0,51.857960526315786,high
60,164,Swaziland,2025,2.9187,2.0,45.934999999999995,low
23,162,Mozambique,2025,211.5371,157.0,34.73700636942676,high
20,145,Philippines,2025,306.8206,232.0,32.25025862068966,high
19,69,Cameroon,2025,415.0584,315.0,31.76457142857143,high
16,124,Yemen,2025,752.8939,583.0,29.141320754716986,high
12,78,Niger,2025,1120.4646,868.0,29.085783410138248,war
7,57,Ethiopia,2025,3365.9590000000003,2612.0,28.865199081163873,war
40,119,Oman,2025,11.3453,9.0,26.058888888888887,low
78,159,Comoros,2025,1.2414,1.0,24.140000000000008,low
24,237,Kenya,2025,136.2732,111.0,22.76864864864865,high
64,55,Djibouti,2025,2.4154,2.0,20.77,low
8,149,Myanmar,2025,2970.6374,2581.0,15.096373498643938,war
47,163,South Africa,2025,6.6747,6.0,11.244999999999994,low
5,245,Sudan,2025,4217.28,3801.0,10.95185477505919,war
34,96,Turkey,2025,23.0209,21.0,9.623333333333338,low
33,150,Thailand,2025,34.2841,33.0,3.891212121212128,medium
37,81,Togo,2025,21.7936,21.0,3.7790476190476254,low
59,10,Chile,2025,3.0415,3.0,1.3833333333333364,low
9,47,Burkina Faso,2025,2680.7847,2863.0,-6.364488298987071,war
15,65,Russia,2025,835.8305,913.0,-8.452300109529022,high
57,73,Tunisia,2025,3.4602,4.0,-13.495000000000001,low
36,246,South Sudan,2025,21.8335,26.0,-16.025,low
21,70,Central African Republic,2025,249.2809,303.0,-17.729075907590758,high
38,235,Uganda,2025,11.7968,16.0,-26.270000000000003,low
29,74,Benin,2025,50.7123,71.0,-28.574225352112677,medium
58,234,United States,2025,3.2091,5.0,-35.818000000000005,low
54,125,Armenia,2025,4.3997,7.0,-37.14714285714285,low
51,11,Ecuador,2025,5.2051,9.0,-42.16555555555556,low
32,209,Indonesia,2025,35.8513,63.0,-43.0931746031746,medium
