,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
2,220,Syria,2025,10920.1474,2035.0,436.6165798525798,war
6,136,Pakistan,2025,4207.936,1358.0,209.8627393225331,war
4,120,Somalia,2025,5355.6657000000005,1865.0,187.16706166219842,war
10,50,Mali,2025,2053.2342,1094.0,87.68137111517366,war
3,79,Nigeria,2025,5770.2880000000005,3414.0,69.0183948447569,war
11,167,"Congo, DRC",2025,1264.0158000000001,783.0,61.43241379310347,war
12,78,Niger,2025,1120.4646,868.0,29.085783410138248,war
7,57,Ethiopia,2025,3365.9590000000003,2612.0,28.865199081163873,war
8,149,Myanmar,2025,2970.6374,2581.0,15.096373498643938,war
5,245,Sudan,2025,4217.28,3801.0,10.95185477505919,war
9,47,Burkina Faso,2025,2680.7847,2863.0,-6.364488298987071,war
1,218,Israel,2025,11420.1981,37170.0,-69.2757651331719,war
0,117,Ukraine,2025,12381.5342,54536.0,-77.2965853747983,war
