,country_id,country,year,main_mean
413,117,Ukraine,2025,12381.5342
705,218,Israel,2025,11420.1981
709,220,Syria,2025,10920.1474
277,79,Nigeria,2025,5770.2880000000005
425,120,Somalia,2025,5355.6657000000005
757,245,Sudan,2025,4217.28
489,136,Pakistan,2025,4207.936
213,57,Ethiopia,2025,3365.9590000000003
537,149,Myanmar,2025,2970.6374
177,47,Burkina Faso,2025,2680.7847
189,50,Mali,2025,2053.2342
609,167,"Congo, DRC",2025,1264.0158000000001
273,78,Niger,2025,1120.4646
717,223,India,2025,926.9484
329,94,Lebanon,2025,857.6817
237,65,Russia,2025,835.8305
441,124,Yemen,2025,752.8939
221,60,Iraq,2025,671.0153
477,133,Afghanistan,2025,550.8608
249,69,Cameroon,2025,415.0584
521,145,Philippines,2025,306.8206
253,70,Central African Republic,2025,249.2809
105,28,Colombia,2025,230.8241
589,162,Mozambique,2025,211.5371
741,237,Kenya,2025,136.2732
89,24,Haiti,2025,78.2901
497,138,Bangladesh,2025,62.1363
33,9,Brazil,2025,59.7261
61,17,Mexico,2025,58.0416
261,74,Benin,2025,50.7123
457,128,Iran,2025,47.073100000000004
701,214,Chad,2025,35.9288
693,209,Indonesia,2025,35.8513
541,150,Thailand,2025,34.2841
333,96,Turkey,2025,23.0209
561,155,Burundi,2025,21.8549
761,246,South Sudan,2025,21.8335
285,81,Togo,2025,21.7936
737,235,Uganda,2025,11.7968
225,62,Jordan,2025,11.3971
421,119,Oman,2025,11.3453
449,126,Azerbaijan,2025,10.1114
629,172,Madagascar,2025,9.4217
601,165,Angola,2025,9.3721
697,213,Libya,2025,8.0383
469,131,Saudi Arabia,2025,7.661
713,222,Egypt,2025,6.8239
593,163,South Africa,2025,6.6747
245,67,Algeria,2025,6.6077
49,13,Peru,2025,6.3791
13,4,Venezuela,2025,5.6773
41,11,Ecuador,2025,5.2051
753,244,Mauritania,2025,5.0928
677,198,Taiwan,2025,5.0171
445,125,Armenia,2025,4.3997
569,157,Zambia,2025,3.9197
749,243,Morocco,2025,3.5621
257,73,Tunisia,2025,3.4602
733,234,United States,2025,3.2091
37,10,Chile,2025,3.0415
597,164,Swaziland,2025,2.9187
57,16,Guatemala,2025,2.6849
681,199,China,2025,2.6469
745,242,Tanzania,2025,2.4415
205,55,Djibouti,2025,2.4154
493,137,Tajikistan,2025,2.2795
653,179,Papua New Guinea,2025,1.9713
157,41,Cote d'Ivoire,2025,1.931
353,101,Poland,2025,1.8907
181,48,Guinea,2025,1.7812999999999999
481,134,Kyrgyzstan,2025,1.672
209,56,Eritrea,2025,1.6442
565,156,Rwanda,2025,1.5892
573,158,Zimbabwe,2025,1.4581
605,166,Congo,2025,1.4443
121,32,Honduras,2025,1.3102
473,132,United Arab Emirates,2025,1.2846
161,42,Ghana,2025,1.2759
577,159,Comoros,2025,1.2414
513,143,North Korea,2025,1.1164
645,177,Australia,2025,1.0695999999999999
193,52,Senegal,2025,0.9177
29,8,Bolivia,2025,0.9011
