,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
34,213,Libya,2026,30.0423,12.0,150.3525,conflict
31,17,Mexico,2026,35.1445,15.0,134.29666666666665,conflict
32,9,Brazil,2026,34.2533,17.0,101.49000000000001,conflict
18,145,Philippines,2026,276.4759,170.0,62.63288235294119,conflict
2,120,Somalia,2026,4720.7567,3567.0,32.34529576675077,conflict
17,133,Afghanistan,2026,311.9019,237.0,31.60417721518988,conflict
10,50,Mali,2026,1542.6871,1251.0,23.316314948041576,conflict
9,124,Yemen,2026,1568.5836,1348.0,16.36376854599406,conflict
3,136,Pakistan,2026,3387.7991,2963.0,14.336790415119818,conflict
21,69,Cameroon,2026,240.1988,217.0,10.690691244239634,conflict
20,162,Mozambique,2026,264.2711,242.0,9.202933884297517,conflict
25,237,Kenya,2026,87.8107,83.0,5.796024096385539,conflict
14,223,India,2026,610.8404,606.0,0.7987458745874662,conflict
4,79,Nigeria,2026,3352.6805,3582.0,-6.401996091568958,conflict
16,28,Colombia,2026,318.5007,375.0,-15.066480000000002,conflict
22,60,Iraq,2026,219.57999999999998,272.0,-19.272058823529417,conflict
8,149,Myanmar,2026,1631.3795,2191.0,-25.541784573254223,conflict
7,47,Burkina Faso,2026,1755.0661,2504.0,-29.909500798722043,conflict
29,150,Thailand,2026,46.6271,68.0,-31.43073529411765,conflict
6,220,Syria,2026,2350.1096,3578.0,-34.317786472889885,conflict
23,24,Haiti,2026,219.3437,427.0,-48.631451990632314,conflict
0,218,Israel,2026,9205.1493,18535.0,-50.336394388993796,conflict
27,209,Indonesia,2026,59.5009,126.0,-52.77706349206349,conflict
12,57,Ethiopia,2026,1015.9319,2206.0,-53.94687669990934,conflict
15,78,Niger,2026,432.16409999999996,952.0,-54.60461134453782,conflict
5,245,Sudan,2026,3119.7352,7112.0,-56.13420697412823,conflict
33,214,Chad,2026,32.7343,82.0,-60.08012195121951,conflict
11,167,"Congo, DRC",2026,1478.2865000000002,4056.0,-63.55309418145956,conflict
26,70,Central African Republic,2026,71.7968,235.0,-69.44817021276594,conflict
30,74,Benin,2026,36.1902,163.0,-77.79742331288342,conflict
19,128,Iran,2026,274.48199999999997,1326.0,-79.3,conflict
28,246,South Sudan,2026,58.0371,327.0,-82.25165137614678,conflict
1,117,Ukraine,2026,9203.3668,63519.0,-85.51084431429965,conflict
13,65,Russia,2026,664.2017,9303.0,-92.86034934967216,conflict
24,94,Lebanon,2026,184.31799999999998,2828.0,-93.48239038189531,conflict
