,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
18,145,Philippines,2026,276.4759,170.0,62.63288235294119,high
17,133,Afghanistan,2026,311.9019,237.0,31.60417721518988,high
21,69,Cameroon,2026,240.1988,217.0,10.690691244239634,high
20,162,Mozambique,2026,264.2711,242.0,9.202933884297517,high
14,223,India,2026,610.8404,606.0,0.7987458745874662,high
16,28,Colombia,2026,318.5007,375.0,-15.066480000000002,high
22,60,Iraq,2026,219.57999999999998,272.0,-19.272058823529417,high
23,24,Haiti,2026,219.3437,427.0,-48.631451990632314,high
15,78,Niger,2026,432.16409999999996,952.0,-54.60461134453782,high
19,128,Iran,2026,274.48199999999997,1326.0,-79.3,high
13,65,Russia,2026,664.2017,9303.0,-92.86034934967216,high
24,94,Lebanon,2026,184.31799999999998,2828.0,-93.48239038189531,high
