,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
34,213,Libya,2026,30.0423,12.0,150.3525,medium
31,17,Mexico,2026,35.1445,15.0,134.29666666666665,medium
32,9,Brazil,2026,34.2533,17.0,101.49000000000001,medium
25,237,Kenya,2026,87.8107,83.0,5.796024096385539,medium
29,150,Thailand,2026,46.6271,68.0,-31.43073529411765,medium
27,209,Indonesia,2026,59.5009,126.0,-52.77706349206349,medium
33,214,Chad,2026,32.7343,82.0,-60.08012195121951,medium
26,70,Central African Republic,2026,71.7968,235.0,-69.44817021276594,medium
30,74,Benin,2026,36.1902,163.0,-77.79742331288342,medium
28,246,South Sudan,2026,58.0371,327.0,-82.25165137614678,medium
