,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
39,130,Qatar,2026,18.2611,6.0,204.35166666666666,no-conflict
44,234,United States,2026,7.4065,3.0,146.88333333333335,no-conflict
48,222,Egypt,2026,6.1365,3.0,104.54999999999998,no-conflict
47,126,Azerbaijan,2026,6.427099999999999,4.0,60.67749999999998,no-conflict
55,42,Ghana,2026,2.9159,2.0,45.79500000000001,no-conflict
56,164,Swaziland,2026,2.8622,2.0,43.11000000000001,no-conflict
46,131,Saudi Arabia,2026,6.9725,5.0,39.45,no-conflict
45,138,Bangladesh,2026,7.0212,6.0,17.020000000000003,no-conflict
69,41,Cote d'Ivoire,2026,1.0161,1.0,1.6100000000000003,no-conflict
41,81,Togo,2026,13.252,14.0,-5.342857142857138,no-conflict
35,11,Ecuador,2026,21.235,23.0,-7.6739130434782625,no-conflict
74,25,Jamaica,2026,0.8955,1.0,-10.450000000000003,no-conflict
50,179,Papua New Guinea,2026,5.0819,6.0,-15.301666666666666,no-conflict
53,156,Rwanda,2026,3.8001,5.0,-23.998,no-conflict
42,147,Cambodia,2026,8.2814,11.0,-24.71454545454546,no-conflict
49,235,Uganda,2026,5.4155,8.0,-32.306250000000006,no-conflict
36,17,Mexico,2026,21.0428,33.0,-36.233939393939394,no-conflict
52,137,Tajikistan,2026,3.9838,7.0,-43.08857142857143,no-conflict
37,4,Venezuela,2026,19.6817,36.0,-45.32861111111111,no-conflict
51,243,Morocco,2026,4.2061,10.0,-57.93899999999999,no-conflict
40,165,Angola,2026,13.313,34.0,-60.844117647058816,no-conflict
57,23,Dominican Republic,2026,2.4201,7.0,-65.42714285714285,no-conflict
38,96,Turkey,2026,18.4049,0.0,,no-conflict
43,155,Burundi,2026,8.1586,0.0,,no-conflict
54,13,Peru,2026,3.4253,0.0,,no-conflict
58,244,Mauritania,2026,1.9264,0.0,,no-conflict
59,73,Tunisia,2026,1.8315,0.0,,no-conflict
60,101,Poland,2026,1.7361,0.0,,no-conflict
61,242,Tanzania,2026,1.5466,0.0,,no-conflict
62,125,Armenia,2026,1.4761,0.0,,no-conflict
63,7,Argentina,2026,1.4304000000000001,0.0,,no-conflict
64,157,Zambia,2026,1.3382,0.0,,no-conflict
65,172,Madagascar,2026,1.2993000000000001,0.0,,no-conflict
66,16,Guatemala,2026,1.2992,0.0,,no-conflict
67,199,China,2026,1.0942,0.0,,no-conflict
68,8,Bolivia,2026,1.0282,0.0,,no-conflict
70,177,Australia,2026,0.9495,0.0,,no-conflict
71,119,Oman,2026,0.9362,0.0,,no-conflict
72,62,Jordan,2026,0.9254,0.0,,no-conflict
73,134,Kyrgyzstan,2026,0.9018,0.0,,no-conflict
75,56,Eritrea,2026,0.8845000000000001,0.0,,no-conflict
76,166,Congo,2026,0.8375,0.0,,no-conflict
77,48,Guinea,2026,0.8013,0.0,,no-conflict
78,76,Equatorial Guinea,2026,0.7955,0.0,,no-conflict
79,127,Bahrain,2026,0.707,0.0,,no-conflict
80,55,Djibouti,2026,0.6969,0.0,,no-conflict
81,143,North Korea,2026,0.6775,0.0,,no-conflict
82,132,United Arab Emirates,2026,0.6742,0.0,,no-conflict
83,158,Zimbabwe,2026,0.6554,0.0,,no-conflict
84,163,South Africa,2026,0.5784,0.0,,no-conflict
85,99,Denmark,2026,0.5778,0.0,,no-conflict
86,89,Bulgaria,2026,0.5663,0.0,,no-conflict
87,123,Uzbekistan,2026,0.5507,0.0,,no-conflict
88,27,Belize,2026,0.5367,0.0,,no-conflict
89,33,Nicaragua,2026,0.482,0.0,,no-conflict
90,100,Hungary,2026,0.4784,0.0,,no-conflict
91,148,Laos,2026,0.4782,0.0,,no-conflict
92,151,Vietnam,2026,0.4638,0.0,,no-conflict
93,122,Turkmenistan,2026,0.4608,0.0,,no-conflict
94,110,Belarus,2026,0.4496,0.0,,no-conflict
95,161,Malawi,2026,0.42969999999999997,0.0,,no-conflict
96,129,Kuwait,2026,0.4282,0.0,,no-conflict
97,3,Trinidad and Tobago,2026,0.428,0.0,,no-conflict
98,12,Paraguay,2026,0.3795,0.0,,no-conflict
99,32,Honduras,2026,0.3749,0.0,,no-conflict
100,206,Singapore,2026,0.34750000000000003,0.0,,no-conflict
101,205,Malaysia,2026,0.3392,0.0,,no-conflict
102,52,Senegal,2026,0.3286,0.0,,no-conflict
103,31,El Salvador,2026,0.3272,0.0,,no-conflict
104,178,Nauru,2026,0.3168,0.0,,no-conflict
105,232,Kosovo,2026,0.3161,0.0,,no-conflict
106,92,Georgia,2026,0.2659,0.0,,no-conflict
107,2,Suriname,2026,0.2545,0.0,,no-conflict
108,105,France,2026,0.2414,0.0,,no-conflict
109,58,Mongolia,2026,0.2332,0.0,,no-conflict
110,139,Bhutan,2026,0.2321,0.0,,no-conflict
111,198,Taiwan,2026,0.2286,0.0,,no-conflict
112,30,Cuba,2026,0.2262,0.0,,no-conflict
113,169,Gabon,2026,0.2198,0.0,,no-conflict
114,116,Romania,2026,0.2096,0.0,,no-conflict
115,135,Nepal,2026,0.2092,0.0,,no-conflict
116,1,Guyana,2026,0.189,0.0,,no-conflict
117,10,Chile,2026,0.1841,0.0,,no-conflict
118,159,Comoros,2026,0.17500000000000002,0.0,,no-conflict
119,46,Spain,2026,0.168,0.0,,no-conflict
120,63,Kazakhstan,2026,0.16620000000000001,0.0,,no-conflict
121,121,Sri Lanka,2026,0.1651,0.0,,no-conflict
122,19,Dominica,2026,0.1632,0.0,,no-conflict
123,168,Fiji,2026,0.1564,0.0,,no-conflict
124,97,Austria,2026,0.1562,0.0,,no-conflict
125,49,Guinea-Bissau,2026,0.1503,0.0,,no-conflict
126,182,Vanuatu,2026,0.1464,0.0,,no-conflict
127,183,Canada,2026,0.1427,0.0,,no-conflict
128,184,Germany,2026,0.141,0.0,,no-conflict
129,181,Tuvalu,2026,0.1355,0.0,,no-conflict
130,93,Greece,2026,0.1297,0.0,,no-conflict
131,112,Finland,2026,0.1277,0.0,,no-conflict
132,14,Uruguay,2026,0.1271,0.0,,no-conflict
133,104,Belgium,2026,0.1256,0.0,,no-conflict
134,77,Kiribati,2026,0.1235,0.0,,no-conflict
135,20,Grenada,2026,0.1202,0.0,,no-conflict
136,64,Norway,2026,0.1196,0.0,,no-conflict
137,39,United Kingdom,2026,0.1167,0.0,,no-conflict
138,66,Sweden,2026,0.1144,0.0,,no-conflict
