,country_id,country,year,main_mean
413,117,Ukraine,2026,9690.6618
705,218,Israel,2026,5688.2359
489,136,Pakistan,2026,4322.1464
425,120,Somalia,2026,3498.9602
277,79,Nigeria,2026,3341.44
757,245,Sudan,2026,2376.0369
441,124,Yemen,2026,2191.838
213,57,Ethiopia,2026,1860.9812
177,47,Burkina Faso,2026,1518.3431
537,149,Myanmar,2026,1415.4726
709,220,Syria,2026,1275.2793
609,167,"Congo, DRC",2026,1234.7349
189,50,Mali,2026,1208.5652
717,223,India,2026,702.2459
237,65,Russia,2026,641.9258
273,78,Niger,2026,604.6587
89,24,Haiti,2026,353.0815
105,28,Colombia,2026,317.9939
477,133,Afghanistan,2026,313.738
589,162,Mozambique,2026,248.667
249,69,Cameroon,2026,228.68630000000002
329,94,Lebanon,2026,189.5197
761,246,South Sudan,2026,188.7576
521,145,Philippines,2026,165.1141
457,128,Iran,2026,130.7164
221,60,Iraq,2026,129.6118
253,70,Central African Republic,2026,88.5107
693,209,Indonesia,2026,80.3668
741,237,Kenya,2026,63.2626
541,150,Thailand,2026,44.9453
701,214,Chad,2026,40.2466
261,74,Benin,2026,36.870599999999996
697,213,Libya,2026,30.7984
245,67,Algeria,2026,25.7728
33,9,Brazil,2026,25.5422
41,11,Ecuador,2026,21.235
61,17,Mexico,2026,21.0428
13,4,Venezuela,2026,19.6817
333,96,Turkey,2026,18.4049
465,130,Qatar,2026,18.2611
601,165,Angola,2026,13.313
285,81,Togo,2026,13.252
529,147,Cambodia,2026,8.2814
561,155,Burundi,2026,8.1586
733,234,United States,2026,7.4065
497,138,Bangladesh,2026,7.0212
469,131,Saudi Arabia,2026,6.9725
449,126,Azerbaijan,2026,6.427099999999999
713,222,Egypt,2026,6.1365
737,235,Uganda,2026,5.4155
653,179,Papua New Guinea,2026,5.0819
749,243,Morocco,2026,4.2061
493,137,Tajikistan,2026,3.9838
565,156,Rwanda,2026,3.8001
49,13,Peru,2026,3.4253
161,42,Ghana,2026,2.9159
597,164,Swaziland,2026,2.8622
85,23,Dominican Republic,2026,2.4201
753,244,Mauritania,2026,1.9264
257,73,Tunisia,2026,1.8315
353,101,Poland,2026,1.7361
745,242,Tanzania,2026,1.5466
445,125,Armenia,2026,1.4761
25,7,Argentina,2026,1.4304000000000001
569,157,Zambia,2026,1.3382
629,172,Madagascar,2026,1.2993000000000001
57,16,Guatemala,2026,1.2992
681,199,China,2026,1.0942
29,8,Bolivia,2026,1.0282
157,41,Cote d'Ivoire,2026,1.0161
645,177,Australia,2026,0.9495
421,119,Oman,2026,0.9362
225,62,Jordan,2026,0.9254
481,134,Kyrgyzstan,2026,0.9018
93,25,Jamaica,2026,0.8955
209,56,Eritrea,2026,0.8845000000000001
605,166,Congo,2026,0.8375
181,48,Guinea,2026,0.8013
265,76,Equatorial Guinea,2026,0.7955
453,127,Bahrain,2026,0.707
205,55,Djibouti,2026,0.6969
513,143,North Korea,2026,0.6775
473,132,United Arab Emirates,2026,0.6742
573,158,Zimbabwe,2026,0.6554
593,163,South Africa,2026,0.5784
345,99,Denmark,2026,0.5778
313,89,Bulgaria,2026,0.5663
437,123,Uzbekistan,2026,0.5507
101,27,Belize,2026,0.5367
125,33,Nicaragua,2026,0.482
349,100,Hungary,2026,0.4784
533,148,Laos,2026,0.4782
545,151,Vietnam,2026,0.4638
433,122,Turkmenistan,2026,0.4608
385,110,Belarus,2026,0.4496
585,161,Malawi,2026,0.42969999999999997
461,129,Kuwait,2026,0.4282
9,3,Trinidad and Tobago,2026,0.428
45,12,Paraguay,2026,0.3795
121,32,Honduras,2026,0.3749
689,206,Singapore,2026,0.34750000000000003
685,205,Malaysia,2026,0.3392
193,52,Senegal,2026,0.3286
117,31,El Salvador,2026,0.3272
649,178,Nauru,2026,0.3168
725,232,Kosovo,2026,0.3161
321,92,Georgia,2026,0.2659
5,2,Suriname,2026,0.2545
369,105,France,2026,0.2414
217,58,Mongolia,2026,0.2332
501,139,Bhutan,2026,0.2321
677,198,Taiwan,2026,0.2286
113,30,Cuba,2026,0.2262
617,169,Gabon,2026,0.2198
409,116,Romania,2026,0.2096
485,135,Nepal,2026,0.2092
1,1,Guyana,2026,0.189
37,10,Chile,2026,0.1841
577,159,Comoros,2026,0.17500000000000002
173,46,Spain,2026,0.168
229,63,Kazakhstan,2026,0.16620000000000001
429,121,Sri Lanka,2026,0.1651
69,19,Dominica,2026,0.1632
613,168,Fiji,2026,0.1564
337,97,Austria,2026,0.1562
185,49,Guinea-Bissau,2026,0.1503
665,182,Vanuatu,2026,0.1464
669,183,Canada,2026,0.1427
673,184,Germany,2026,0.141
661,181,Tuvalu,2026,0.1355
325,93,Greece,2026,0.1297
393,112,Finland,2026,0.1277
53,14,Uruguay,2026,0.1271
365,104,Belgium,2026,0.1256
269,77,Kiribati,2026,0.1235
73,20,Grenada,2026,0.1202
233,64,Norway,2026,0.1196
149,39,United Kingdom,2026,0.1167
241,66,Sweden,2026,0.1144
129,34,Panama,2026,0.1082
633,173,Mauritius,2026,0.1016
729,233,Serbia,2026,0.0997
581,160,Lesotho,2026,0.0996
109,29,Costa Rica,2026,0.0968
297,84,Croatia,2026,0.0948
721,231,Montenegro,2026,0.0933
133,35,Antigua and Barbuda,2026,0.0925
21,6,Tonga,2026,0.0922
525,146,South Korea,2026,0.0912
305,86,Macedonia,2026,0.09029999999999999
81,22,St. Vincent and the Grenadines,2026,0.0876
357,102,Slovakia,2026,0.0858
621,170,Namibia,2026,0.0854
97,26,Bahamas,2026,0.0834
17,5,Samoa,2026,0.0802
557,154,Botswana,2026,0.0789
77,21,St. Lucia,2026,0.0711
137,36,St. Kitts and Nevis,2026,0.0704
417,118,Maldives,2026,0.0681
145,38,Ireland,2026,0.0672
505,140,Brunei,2026,0.0669
309,87,Malta,2026,0.0639
153,40,Cape Verde,2026,0.0636
509,142,Japan,2026,0.0623
405,115,Moldova,2026,0.0613
201,54,The Gambia,2026,0.0603
289,82,Albania,2026,0.06
517,144,Palau,2026,0.0595
281,80,Sao Tome and Principe,2026,0.0584
165,43,Liberia,2026,0.0554
657,180,Solomon Is.,2026,0.055099999999999996
553,153,Micronesia,2026,0.0506
197,53,Sierra Leone,2026,0.0505
301,85,Italy,2026,0.0487
549,152,Marshall Is.,2026,0.0474
637,174,Seychelles,2026,0.0465
293,83,Bosnia and Herzegovina,2026,0.0409
65,18,Barbados,2026,0.0342
169,45,Portugal,2026,0.0334
641,176,Timor Leste,2026,0.0331
373,107,Luxembourg,2026,0.0309
397,113,Latvia,2026,0.0304
381,109,Switzerland,2026,0.028
401,114,Lithuania,2026,0.0279
377,108,Netherlands,2026,0.0266
141,37,Iceland,2026,0.0264
317,90,Cyprus,2026,0.024999999999999998
341,98,Czech Republic,2026,0.0246
389,111,Estonia,2026,0.0202
361,103,Slovenia,2026,0.0192
625,171,New Zealand,2026,0.0139
