,country_id,country,year,main_mean,actuals_last_12months
0,17,Mexico,2026,35.1445,15.0
1,9,Brazil,2026,34.2533,17.0
2,213,Libya,2026,30.0423,12.0
3,163,South Africa,2026,24.2466,0.0
4,96,Turkey,2026,18.948,1.0
5,155,Burundi,2026,10.0281,0.0
6,11,Ecuador,2026,9.7672,22.0
7,179,Papua New Guinea,2026,9.2627,4.0
8,147,Cambodia,2026,9.068999999999999,11.0
9,126,Azerbaijan,2026,8.4567,4.0
10,222,Egypt,2026,7.89,3.0
11,131,Saudi Arabia,2026,7.7224,5.0
12,138,Bangladesh,2026,7.3925,11.0
13,148,Laos,2026,7.0309,0.0
14,164,Swaziland,2026,6.7469,2.0
15,235,Uganda,2026,5.3922,3.0
16,243,Morocco,2026,4.9559,7.0
17,4,Venezuela,2026,4.6924,11.0
18,137,Tajikistan,2026,4.5679,7.0
19,156,Rwanda,2026,4.4854,5.0
20,13,Peru,2026,4.4761,0.0
21,23,Dominican Republic,2026,3.0701,4.0
22,16,Guatemala,2026,3.0107,0.0
23,42,Ghana,2026,2.7933,1.0
24,244,Mauritania,2026,1.8857,0.0
25,73,Tunisia,2026,1.7442,0.0
26,125,Armenia,2026,1.6842,0.0
27,25,Jamaica,2026,1.6529,1.0
28,242,Tanzania,2026,1.5698,0.0
29,199,China,2026,1.559,0.0
30,62,Jordan,2026,1.4281,0.0
31,158,Zimbabwe,2026,1.4081000000000001,0.0
32,157,Zambia,2026,1.2423,0.0
33,48,Guinea,2026,1.0945,0.0
34,119,Oman,2026,1.032,0.0
35,134,Kyrgyzstan,2026,1.0131000000000001,0.0
36,151,Vietnam,2026,0.9195,0.0
37,56,Eritrea,2026,0.872,0.0
38,55,Djibouti,2026,0.8658,0.0
39,234,United States,2026,0.8228,3.0
40,172,Madagascar,2026,0.8144,0.0
41,8,Bolivia,2026,0.7474000000000001,0.0
42,41,Cote d'Ivoire,2026,0.7452,0.0
43,27,Belize,2026,0.7367,0.0
44,166,Congo,2026,0.7125,0.0
45,110,Belarus,2026,0.6725,0.0
46,76,Equatorial Guinea,2026,0.6607,0.0
47,177,Australia,2026,0.5918,0.0
48,143,North Korea,2026,0.5861,0.0
49,129,Kuwait,2026,0.5546,0.0
50,100,Hungary,2026,0.4725,0.0
51,33,Nicaragua,2026,0.4628,0.0
52,122,Turkmenistan,2026,0.4609,0.0
53,123,Uzbekistan,2026,0.4514,0.0
54,3,Trinidad and Tobago,2026,0.4257,0.0
55,161,Malawi,2026,0.3711,0.0
56,31,El Salvador,2026,0.342,0.0
57,32,Honduras,2026,0.3377,0.0
58,92,Georgia,2026,0.3226,0.0
59,52,Senegal,2026,0.3164,0.0
60,205,Malaysia,2026,0.3011,0.0
61,101,Poland,2026,0.29059999999999997,0.0
62,1,Guyana,2026,0.29059999999999997,0.0
63,12,Paraguay,2026,0.29059999999999997,0.0
64,116,Romania,2026,0.2735,0.0
65,104,Belgium,2026,0.2714,0.0
66,232,Kosovo,2026,0.2617,0.0
67,132,United Arab Emirates,2026,0.2582,0.0
68,135,Nepal,2026,0.24230000000000002,0.0
69,130,Qatar,2026,0.2231,6.0
70,30,Cuba,2026,0.2219,0.0
71,58,Mongolia,2026,0.22,0.0
72,170,Namibia,2026,0.2198,0.0
73,127,Bahrain,2026,0.219,0.0
74,184,Germany,2026,0.2187,0.0
75,105,France,2026,0.2128,0.0
76,169,Gabon,2026,0.20679999999999998,0.0
77,39,United Kingdom,2026,0.2059,0.0
78,63,Kazakhstan,2026,0.2006,0.0
79,139,Bhutan,2026,0.1999,0.0
80,35,Antigua and Barbuda,2026,0.1954,0.0
81,121,Sri Lanka,2026,0.1931,0.0
82,29,Costa Rica,2026,0.1852,0.0
83,46,Spain,2026,0.1745,0.0
84,66,Sweden,2026,0.1709,0.0
85,2,Suriname,2026,0.1693,0.0
86,159,Comoros,2026,0.1636,0.0
87,49,Guinea-Bissau,2026,0.1598,0.0
88,160,Lesotho,2026,0.15940000000000001,0.0
89,7,Argentina,2026,0.15689999999999998,0.0
90,89,Bulgaria,2026,0.1523,0.0
91,84,Croatia,2026,0.1498,0.0
92,83,Bosnia and Herzegovina,2026,0.1427,0.0
93,183,Canada,2026,0.1397,0.0
94,115,Moldova,2026,0.1366,0.0
95,112,Finland,2026,0.1298,0.0
96,180,Solomon Is.,2026,0.12380000000000001,0.0
