,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
44,244,Mauritania,2025,10.0963,1.0,909.6299999999999,low
45,222,Egypt,2025,9.7565,1.0,875.6500000000001,low
42,213,Libya,2025,12.4152,2.0,520.76,low
40,67,Algeria,2025,13.9108,3.0,363.6933333333333,low
0,220,Syria,2025,9439.7886,2091.0,351.44852223816355,war
49,198,Taiwan,2025,7.4916,2.0,274.58,low
25,9,Brazil,2025,82.972,23.0,260.7478260869565,medium
6,136,Pakistan,2025,3896.1642,1184.0,229.06792229729734,war
61,199,China,2025,3.1592000000000002,1.0,215.92000000000002,low
17,133,Afghanistan,2025,510.69230000000005,163.0,213.30815950920248,high
14,223,India,2025,1112.3741,375.0,196.63309333333333,war
38,119,Oman,2025,23.1448,9.0,157.16444444444443,low
2,120,Somalia,2025,6256.1693,2459.0,154.41924766165104,war
66,41,Cote d'Ivoire,2025,2.4587,1.0,145.86999999999998,low
10,167,"Congo, DRC",2025,2006.7298,848.0,136.64266509433963,war
37,138,Bangladesh,2025,29.7549,13.0,128.88384615384615,medium
32,81,Togo,2025,39.8617,18.0,121.45388888888888,medium
1,79,Nigeria,2025,6832.9088,3218.0,112.33402113113735,war
36,17,Mexico,2025,32.1153,16.0,100.72062499999998,medium
12,124,Yemen,2025,1292.7959,652.0,98.28157975460124,war
59,164,Swaziland,2025,3.9044999999999996,2.0,95.22499999999998,low
16,60,Iraq,2025,559.7169,346.0,61.767890173410414,high
46,163,South Africa,2025,9.6778,6.0,61.29666666666665,low
52,73,Tunisia,2025,6.0779,4.0,51.94749999999999,low
21,162,Mozambique,2025,243.2178,161.0,51.06695652173914,high
62,55,Djibouti,2025,2.9653,2.0,48.265,low
33,246,South Sudan,2025,38.2892,26.0,47.266153846153856,medium
19,145,Philippines,2025,350.1389,239.0,46.50163179916317,high
11,50,Mali,2025,1880.1999,1322.0,42.22389561270802,war
18,69,Cameroon,2025,475.5378,335.0,41.95158208955224,high
77,159,Comoros,2025,1.3723,1.0,37.230000000000004,low
5,47,Burkina Faso,2025,4207.7894,3135.0,34.21975757575756,war
