,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
17,133,Afghanistan,2025,510.69230000000005,163.0,213.30815950920248,high
16,60,Iraq,2025,559.7169,346.0,61.767890173410414,high
21,162,Mozambique,2025,243.2178,161.0,51.06695652173914,high
19,145,Philippines,2025,350.1389,239.0,46.50163179916317,high
18,69,Cameroon,2025,475.5378,335.0,41.95158208955224,high
22,28,Colombia,2025,202.6436,154.0,31.58675324675324,high
15,65,Russia,2025,576.617,447.0,28.99709172259507,high
24,237,Kenya,2025,166.5329,176.0,-5.379034090909085,high
20,94,Lebanon,2025,283.7572,337.0,-15.799050445103854,high
23,70,Central African Republic,2025,188.7235,284.0,-33.54806338028169,high
