,country_id,country,year,main_mean
709,220,Syria,2025,9439.7886
277,79,Nigeria,2025,6832.9088
425,120,Somalia,2025,6256.1693
413,117,Ukraine,2025,5749.8372
705,218,Israel,2025,4746.6493
177,47,Burkina Faso,2025,4207.7894
489,136,Pakistan,2025,3896.1642
213,57,Ethiopia,2025,3875.7457
537,149,Myanmar,2025,3186.0508
757,245,Sudan,2025,2854.7441
609,167,"Congo, DRC",2025,2006.7298
189,50,Mali,2025,1880.1999
441,124,Yemen,2025,1292.7959
273,78,Niger,2025,1119.7314000000001
717,223,India,2025,1112.3741
237,65,Russia,2025,576.617
221,60,Iraq,2025,559.7169
477,133,Afghanistan,2025,510.69230000000005
249,69,Cameroon,2025,475.5378
521,145,Philippines,2025,350.1389
329,94,Lebanon,2025,283.7572
589,162,Mozambique,2025,243.2178
105,28,Colombia,2025,202.6436
253,70,Central African Republic,2025,188.7235
741,237,Kenya,2025,166.5329
33,9,Brazil,2025,82.972
89,24,Haiti,2025,72.5015
693,209,Indonesia,2025,65.8769
261,74,Benin,2025,63.1172
457,128,Iran,2025,46.6495
701,214,Chad,2025,43.4148
561,155,Burundi,2025,41.8195
285,81,Togo,2025,39.8617
761,246,South Sudan,2025,38.2892
541,150,Thailand,2025,34.6013
333,96,Turkey,2025,33.0382
61,17,Mexico,2025,32.1153
497,138,Bangladesh,2025,29.7549
421,119,Oman,2025,23.1448
737,235,Uganda,2025,15.208
245,67,Algeria,2025,13.9108
601,165,Angola,2025,13.8857
697,213,Libya,2025,12.4152
449,126,Azerbaijan,2025,11.5308
753,244,Mauritania,2025,10.0963
713,222,Egypt,2025,9.7565
593,163,South Africa,2025,9.6778
469,131,Saudi Arabia,2025,9.0801
49,13,Peru,2025,7.5727
677,198,Taiwan,2025,7.4916
41,11,Ecuador,2025,6.8077000000000005
13,4,Venezuela,2025,6.6825
257,73,Tunisia,2025,6.0779
733,234,United States,2025,5.5390999999999995
445,125,Armenia,2025,4.9855
749,243,Morocco,2025,4.4385
493,137,Tajikistan,2025,4.246
481,134,Kyrgyzstan,2025,3.9828
569,157,Zambia,2025,3.9121
597,164,Swaziland,2025,3.9044999999999996
745,242,Tanzania,2025,3.6462
681,199,China,2025,3.1592000000000002
205,55,Djibouti,2025,2.9653
629,172,Madagascar,2025,2.8789
353,101,Poland,2025,2.5918
37,10,Chile,2025,2.541
157,41,Cote d'Ivoire,2025,2.4587
