,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
0,220,Syria,2025,9439.7886,2091.0,351.44852223816355,25_or_more
25,9,Brazil,2025,82.972,23.0,260.7478260869565,25_or_more
6,136,Pakistan,2025,3896.1642,1184.0,229.06792229729734,25_or_more
17,133,Afghanistan,2025,510.69230000000005,163.0,213.30815950920248,25_or_more
14,223,India,2025,1112.3741,375.0,196.63309333333333,25_or_more
2,120,Somalia,2025,6256.1693,2459.0,154.41924766165104,25_or_more
10,167,"Congo, DRC",2025,2006.7298,848.0,136.64266509433963,25_or_more
37,138,Bangladesh,2025,29.7549,13.0,128.88384615384615,25_or_more
32,81,Togo,2025,39.8617,18.0,121.45388888888888,25_or_more
1,79,Nigeria,2025,6832.9088,3218.0,112.33402113113735,25_or_more
36,17,Mexico,2025,32.1153,16.0,100.72062499999998,25_or_more
12,124,Yemen,2025,1292.7959,652.0,98.28157975460124,25_or_more
16,60,Iraq,2025,559.7169,346.0,61.767890173410414,25_or_more
21,162,Mozambique,2025,243.2178,161.0,51.06695652173914,25_or_more
33,246,South Sudan,2025,38.2892,26.0,47.266153846153856,25_or_more
19,145,Philippines,2025,350.1389,239.0,46.50163179916317,25_or_more
11,50,Mali,2025,1880.1999,1322.0,42.22389561270802,25_or_more
18,69,Cameroon,2025,475.5378,335.0,41.95158208955224,25_or_more
5,47,Burkina Faso,2025,4207.7894,3135.0,34.21975757575756,25_or_more
22,28,Colombia,2025,202.6436,154.0,31.58675324675324,25_or_more
13,78,Niger,2025,1119.7314000000001,851.0,31.578307873090495,25_or_more
15,65,Russia,2025,576.617,447.0,28.99709172259507,25_or_more
7,57,Ethiopia,2025,3875.7457,3051.0,27.03197967879384,25_or_more
8,149,Myanmar,2025,3186.0508,2587.0,23.156196366447624,25_or_more
24,237,Kenya,2025,166.5329,176.0,-5.379034090909085,25_or_more
34,150,Thailand,2025,34.6013,39.0,-11.278717948717944,25_or_more
35,96,Turkey,2025,33.0382,38.0,-13.057368421052622,25_or_more
27,209,Indonesia,2025,65.8769,76.0,-13.319868421052625,25_or_more
28,74,Benin,2025,63.1172,73.0,-13.538082191780825,25_or_more
20,94,Lebanon,2025,283.7572,337.0,-15.799050445103854,25_or_more
9,245,Sudan,2025,2854.7441,4098.0,-30.338113714006838,25_or_more
23,70,Central African Republic,2025,188.7235,284.0,-33.54806338028169,25_or_more
26,24,Haiti,2025,72.5015,146.0,-50.34143835616439,25_or_more
30,214,Chad,2025,43.4148,122.0,-64.41409836065574,25_or_more
31,155,Burundi,2025,41.8195,122.0,-65.7217213114754,25_or_more
29,128,Iran,2025,46.6495,168.0,-72.23244047619048,25_or_more
4,218,Israel,2025,4746.6493,34655.0,-86.30313288125812,25_or_more
3,117,Ukraine,2025,5749.8372,50992.0,-88.72404063382491,25_or_more
