,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
44,244,Mauritania,2025,10.0963,1.0,909.6299999999999,low_intensity
45,222,Egypt,2025,9.7565,1.0,875.6500000000001,low_intensity
42,213,Libya,2025,12.4152,2.0,520.76,low_intensity
40,67,Algeria,2025,13.9108,3.0,363.6933333333333,low_intensity
49,198,Taiwan,2025,7.4916,2.0,274.58,low_intensity
61,199,China,2025,3.1592000000000002,1.0,215.92000000000002,low_intensity
38,119,Oman,2025,23.1448,9.0,157.16444444444443,low_intensity
66,41,Cote d'Ivoire,2025,2.4587,1.0,145.86999999999998,low_intensity
59,164,Swaziland,2025,3.9044999999999996,2.0,95.22499999999998,low_intensity
46,163,South Africa,2025,9.6778,6.0,61.29666666666665,low_intensity
52,73,Tunisia,2025,6.0779,4.0,51.94749999999999,low_intensity
62,55,Djibouti,2025,2.9653,2.0,48.265,low_intensity
77,159,Comoros,2025,1.3723,1.0,37.230000000000004,low_intensity
48,13,Peru,2025,7.5727,6.0,26.211666666666673,low_intensity
53,234,United States,2025,5.5390999999999995,5.0,10.78199999999999,low_intensity
47,131,Saudi Arabia,2025,9.0801,9.0,0.8899999999999982,low_intensity
39,235,Uganda,2025,15.208,16.0,-4.949999999999999,low_intensity
65,10,Chile,2025,2.541,3.0,-15.300000000000002,low_intensity
50,11,Ecuador,2025,6.8077000000000005,9.0,-24.35888888888888,low_intensity
41,165,Angola,2025,13.8857,21.0,-33.87761904761904,low_intensity
55,243,Morocco,2025,4.4385,9.0,-50.68333333333332,low_intensity
54,125,Armenia,2025,4.9855,12.0,-58.454166666666666,low_intensity
43,126,Azerbaijan,2025,11.5308,430.0,-97.31841860465116,low_intensity
51,4,Venezuela,2025,6.6825,0.0,,low_intensity
56,137,Tajikistan,2025,4.246,0.0,,low_intensity
57,134,Kyrgyzstan,2025,3.9828,0.0,,low_intensity
58,157,Zambia,2025,3.9121,0.0,,low_intensity
60,242,Tanzania,2025,3.6462,0.0,,low_intensity
63,172,Madagascar,2025,2.8789,0.0,,low_intensity
64,101,Poland,2025,2.5918,0.0,,low_intensity
67,179,Papua New Guinea,2025,2.4248000000000003,0.0,,low_intensity
68,62,Jordan,2025,2.4066,0.0,,low_intensity
69,156,Rwanda,2025,2.2462999999999997,0.0,,low_intensity
70,158,Zimbabwe,2025,2.1551,0.0,,low_intensity
71,48,Guinea,2025,1.9577,0.0,,low_intensity
72,56,Eritrea,2025,1.9125,0.0,,low_intensity
73,143,North Korea,2025,1.8706999999999998,0.0,,low_intensity
74,166,Congo,2025,1.8084,0.0,,low_intensity
75,32,Honduras,2025,1.7871000000000001,0.0,,low_intensity
76,42,Ghana,2025,1.5604,0.0,,low_intensity
78,100,Hungary,2025,1.3149,0.0,,low_intensity
79,8,Bolivia,2025,1.2337,0.0,,low_intensity
80,177,Australia,2025,1.2197,0.0,,low_intensity
81,16,Guatemala,2025,1.2122,0.0,,low_intensity
82,3,Trinidad and Tobago,2025,1.2046999999999999,0.0,,low_intensity
83,116,Romania,2025,1.1783000000000001,0.0,,low_intensity
84,161,Malawi,2025,1.1635,0.0,,low_intensity
85,110,Belarus,2025,1.0959,0.0,,low_intensity
86,52,Senegal,2025,1.0678,0.0,,low_intensity
87,129,Kuwait,2025,0.9962,0.0,,low_intensity
88,53,Sierra Leone,2025,0.9561,0.0,,low_intensity
89,122,Turkmenistan,2025,0.9366,0.0,,low_intensity
90,92,Georgia,2025,0.9066,0.0,,low_intensity
91,27,Belize,2025,0.8935,0.0,,low_intensity
92,169,Gabon,2025,0.8867,0.0,,low_intensity
93,89,Bulgaria,2025,0.8622,0.0,,low_intensity
94,205,Malaysia,2025,0.8429,0.0,,low_intensity
95,123,Uzbekistan,2025,0.8225,0.0,,low_intensity
96,31,El Salvador,2025,0.7953,0.0,,low_intensity
97,102,Slovakia,2025,0.7933,0.0,,low_intensity
98,132,United Arab Emirates,2025,0.7913,0.0,,low_intensity
99,130,Qatar,2025,0.7871,0.0,,low_intensity
100,148,Laos,2025,0.7436,0.0,,low_intensity
101,139,Bhutan,2025,0.7223999999999999,0.0,,low_intensity
102,1,Guyana,2025,0.6952,0.0,,low_intensity
103,7,Argentina,2025,0.6679,0.0,,low_intensity
104,76,Equatorial Guinea,2025,0.6583,0.0,,low_intensity
105,58,Mongolia,2025,0.6415,0.0,,low_intensity
106,232,Kosovo,2025,0.5751000000000001,0.0,,low_intensity
107,25,Jamaica,2025,0.5561,0.0,,low_intensity
108,23,Dominican Republic,2025,0.5491,0.0,,low_intensity
109,12,Paraguay,2025,0.5277000000000001,0.0,,low_intensity
110,154,Botswana,2025,0.5222,0.0,,low_intensity
111,151,Vietnam,2025,0.504,0.0,,low_intensity
112,2,Suriname,2025,0.5024,0.0,,low_intensity
113,33,Nicaragua,2025,0.4979,0.0,,low_intensity
114,93,Greece,2025,0.4926,0.0,,low_intensity
115,112,Finland,2025,0.4918,0.0,,low_intensity
116,64,Norway,2025,0.4656,0.0,,low_intensity
117,127,Bahrain,2025,0.46540000000000004,0.0,,low_intensity
118,98,Czech Republic,2025,0.4622,0.0,,low_intensity
119,29,Costa Rica,2025,0.4576,0.0,,low_intensity
120,63,Kazakhstan,2025,0.452,0.0,,low_intensity
121,105,France,2025,0.4376,0.0,,low_intensity
122,147,Cambodia,2025,0.4353,0.0,,low_intensity
123,14,Uruguay,2025,0.427,0.0,,low_intensity
124,135,Nepal,2025,0.4239,0.0,,low_intensity
125,66,Sweden,2025,0.4197,0.0,,low_intensity
126,170,Namibia,2025,0.41659999999999997,0.0,,low_intensity
127,80,Sao Tome and Principe,2025,0.4104,0.0,,low_intensity
